"Dziwi mnie, że ludzie odczuwają silne emocje w stosunku do zmiany klimatu."	"I am surprised that people experience strong emotions in connection with climate change."	"Jeg er forundret over at folk har sterke følelser i forbindelse med endringene av klimaet."	"IND13"
"Rosnące zaangażowanie społeczne w kwestie zmiany klimatu budzi we mnie nadzieję."	"The increasing public engagement with climate change gives me hope."	"Det økende klimaengasjementet ute blant folk vekker håp hos meg."	"EMP12"
"Świadomość, że istnieją ludzie, którzy przejmują się zmianą klimatu, daje mi siłę do działania."	"Knowing that there are people who care about climate change gives me a sense of empowerment."	"Å vite at det finnes mennesker som er opptatt av klimaendringene, gir meg handlekraft."	"EMP9"
"Wierzę, że pojawiące się rozwiązania pozwolą nam zahamować zmianę klimatu."	"I believe that there are emerging solutions that will allow us to stop climate change."	"Jeg tror at løsninger som nå er på trappene, vil gjøre det mulig for oss å bremse klimaendringene."	"HOPF9"
"By udowodnić, że przeczytał[[eś//aś]] to pytanie ze zrozumieniem, zaznacz teraz odpowiedź „Zdecydowanie nie”."	"To convince us that you are reading this, please, just mark the option “Strongly disagree”."	"For at vi skal være sikre på at du leser dette, vær vennlig og trykk på følgende alternativ: “Sterkt uenig”."	"CHECK1"
"Konkretne działania na rzecz klimatu pozwalają mi optymistycznie patrzeć w przyszłość."	"Concrete actions for the climate allow me to be optimistic about the future."	"Konkrete handlinger til det beste for klimaet gjør at jeg kan se optimistisk på fremtiden."	"HOPF8"
"Z nadzieją patrzę w przyszłość, widząc tempo pozytywnych zmian na rzecz klimatu."	"I am hopeful about the future when I see the pace of positive changes for climate protection."	"Jeg får håp for fremtiden når jeg ser med hvilket tempo det kommer endringer som er positive for klimaet."	"HOPF10"
"To, że coraz więcej ludzi uświadamia sobie zagrożenia związane ze zmianą klimatu, daje mi nadzieję."	"Knowing that more and more people are becoming aware of the dangers of climate change gives me hope."	"Det at stadig flere mennesker blir klar over truslene knyttet til klimaendringene, gir meg håp."	"EMP14"
"Mam w sobie dużo wiary, że uda się nam opanować zmianę klimatu."	"I strongly believe that we will be able to tackle climate change."	"Jeg har stor tro på at vi vil lykkes med å få kontroll over klimaendringene."	"HOPF13"
"Mobilizacja społeczna w kwestii przeciwdziałania zmianie klimatu daje mi poczucie, że razem możemy osiągnąć ten cel."	"Social mobilisation in the fight against climate change makes me feel that together we can achieve this goal."	"Mobiliseringen ute blant folk i forbindelse med tiltak for å motvirke klimaendringer, gir meg følelsen av at vi sammen kan nå dette målet"	"EMP7"
"Czuję dezorientację, jeśli chodzi o to, co mogę tak naprawdę zrobić, by ograniczyć zmianę klimatu."	"I feel confused about what I can do to reduce climate change."	"Jeg føler meg forvirret i spørsmålet om hva jeg egentlig kan gjøre for å begrense endringene av klimaet."	"POWL11"
"Kiedy myślę, co ja sam[[//a]] mogę zrobić na rzecz klimatu, czuję się bardzo malutk[[i//a]]."	"When I think about what I can do to mitigate climate change, I feel very small."	"Når jeg tenker over hva jeg selv kan gjøre for klimaet, føler jeg meg veldig liten."	"POWL5"
"Przytłacza mnie to, jak wiele aspektów życia należałoby zmienić, by ograniczyć zmianę klimatu."	"I am overwhelmed by how many aspects of life would need to be changed to limit climate change."	"Jeg overveldes ved tanken på hvor mange sider ved livet som burde endres for å begrense endringene av klimaet."	"POWL7"
"Mam poczucie, że niewiele mogę zrobić, by ograniczyć zmianę klimatu."	"I feel there isn't much I can do to limit climate change."	"Jeg føler at det er lite jeg kan gjøre for å begrense endringene av klimaet."	"POWL4"
"Mam poczucie bezsilności w obliczu tego, jak skomplikowanym problemem jest zmiana klimatu."	"I feel powerless in the face of the complexity of the climate change problem."	"Jeg føler meg maktesløs ved tanken på hvor komplisert problemet klimaendringer er."	"POWL8"
"Trudno mi zrozumieć, jak właściwie mam postępować, by pomóc skutecznie przeciwdziałać zmianie klimatu."	"It is difficult for me to understand what I can do to help fight climate change effectively."	"Det er vanskelig for meg å forstå hvordan jeg egentlig skal bekjempe klimaendringene på en effektiv måte."	"POWL12"
"Czuję się bezradn[[y//a]] wobec faktu, że jako jednostka mam bardzo niewielki wpływ na to, co się dzieje z klimatem."	"As an individual, I feel powerless with little agency over what happens with the climate."	"Som individ føler jeg meg maktesløs med svært lite innflytelse over hva som skjer med klimaet."	"POWL2"
"Czuję bezsilność, kiedy myślę o tym, jak trudno jest żyć w sposób przyjazny dla klimatu."	"I feel helpless when I think of how difficult it is to live in a climate-friendly way."	"Jeg føler meg maktesløs når jeg tenker på hvor vanskelig det er å leve klimavennlig."	"POWL13"
"Mam wyrzuty sumienia, że nie robię wystarczająco dużo, żeby przeciwdziałać zmianie klimatu."	"I have a guilty conscience about not doing enough to mitigate climate change."	"Jeg har dårlig samvittighet for at jeg ikke gjør tilstrekkelig mye for å motvirke endringen av klimaet."	"GUI11"
"By udowodnić, że przeczytał[[eś//aś]] to pytanie ze zrozumieniem, zaznacz teraz odpowiedź „Ani tak, ani nie”."	"To convince us that you are reading this, please, just mark the option “Neither agree, nor disagree”."	"For at vi skal være sikre på at du leser dette, vær vennlig og trykk på følgende alternativ: “Hverken enig eller uenig”."	"CHECK2"
"Denerwuję się, że mój negatywny wpływ na klimat jest zbyt duży."	"It upsets me that I have a big negative impact on the climate."	"Jeg er opprørt over at min negative innvirkning på klimaet er så stor."	"GUI6"
"Kiedy robię coś, co przyczynia się do zmiany klimatu, nachodzą mnie wyrzuty sumienia."	"I feel remorse when I do something that contributes to climate change."	"Når jeg gjør noe som bidrar til at klimaet endres, får jeg dårlig samvittighet."	"GUI2"
"Mam poczucie winy, że sposób, w jaki żyję, przyczynia się do zmiany klimatu."	"I feel guilty that my lifestyle contributes to climate change."	"Jeg har skyldfølelse ved tanke på at måten jeg lever på, bidrar til klimaendringer."	"GUI8"
"Mam wyrzuty sumienia, że robię zbyt mało, by ograniczyć zmianę klimatu."	"I feel remorse for doing too little to mitigate climate change."	"Jeg har dårlig samvittighet fordi jeg gjør for lite for å begrense klimaendringer."	"GUI9"
"Mam poczucie winy, gdy robię coś, co przyczynia się do zmiany klimatu."	"I have a sense of guilt for doing things that contribute to climate change."	"Jeg får skyldfølelse når jeg gjør noe som bidrar til klimaendringer."	"GUI4"
"Jestem zł[[y//a]] na siebie, że nie robię wystarczająco dużo, by ograniczyć mój wpływ na klimat."	"I am angry at myself for not doing enough to limit my negative impact on the climate."	"Jeg er sint på meg selv over at jeg ikke gjør tilstrekkelig mye for å begrense min påvirkning på klimaet."	"GUI12"
"Mam do siebie pretensje, że nie robię więcej, by pomóc w walce ze zmianą klimatu."	"I blame myself for not doing more to help with the fight against climate change."	"Jeg bebreider meg selv for at jeg ikke gjør mer for å hjelpe til i kampen mot klimaendringer."	"GUI14"
"Czuję, jakbym był[[//a]] jedną z niewielu osób, które naprawdę rozumieją, z czym wiąże się zmiana klimatu."	"I feel like one of the few people who actually understand what climate change entails."	"Jeg føler meg som en av de få som virkelig forstår hva endringene av klimaet innebærer."	"ISO4"
"Czuję się osamotnion[[y//a]], kiedy inni nie rozumieją moich obaw w stosunku do zmiany klimatu."	"I feel lonely when others don’t understand my concerns about climate change."	"Jeg føler meg alene når andre ikke forstår min frykt for klimaendringer."	"ISO13"
"By udowodnić, że przeczytał[[eś//aś]] to pytanie ze zrozumieniem, zaznacz teraz odpowiedź „Zdecydowanie tak”."	"To convince us that you are reading this, please, just mark the option “Strongly agree”."	"For at vi skal være sikre på at du leser dette, vær vennlig og trykk på følgende alternativ: “Sterkt enig”."	"CHECK3"
"Czuję się osamotnion[[y//a]], ponieważ większość ludzi w moim otoczeniu nie martwi się zmianą klimatu tak, jak ja."	"I feel lonely because most of the people around me don’t care about climate change as much as I do."	"Jeg føler meg alene fordi de fleste i min omgangskrets ikke bekymrer seg over klimaendringene på samme måte som jeg."	"ISO5"
"Czuję osamotnienie, ponieważ trudno mi rozmawiać z innymi o mojej trosce dotyczącej zmiany klimatu."	"I feel lonely because it’s difficult to talk about my climate change concerns with other people."	"Jeg føler meg alene fordi det er vanskelig for meg å snakke med andre om mine bekymringer over klimaendringene."	"ISO8"
"Czuję się jakbym był[[//a]] jedyną osobą w moim otoczeniu, która przejmuje się zmianą klimatu."	"I feel as if I were the only person around who cares about climate change."	"Jeg føler meg som den eneste i min omgangskrets som er opptatt av klimaendringene."	"ISO3"
"Czuję się wyobcowan[[y//a]], ponieważ społeczeństwo uważa troskę o zmianę klimatu za coś dziwacznego."	"I feel alienated because society considers concern for climate change as something strange."	"Jeg føler meg isolert fordi folk anser mine bekymringer på grunn av klimaendringene som noe rart."	"ISO12"
"Czuję się osamotnion[[y//a]] w mojej trosce o zmianę klimatu."	"I feel alone in my concern for climate change."	"Jeg føler meg alene i min bekymring over klimaendringene."	"ISO2"
"Czasem czuję się samotn[[y//a]], bo ludzie po prostu żyją, jakby nie było zmiany klimatu."	"Sometimes I feel lonely because people live as if climate change isn't happening."	"Iblant føler jeg meg alene fordi folk ganske enkelt lever som om klimaendringene ikke finnes."	"ISO9"
"Czuję obawę, gdy myślę o tym, jak zmiana klimatu wpłynie na życie ludzi."	"I fear the impact of climate change on peoples' lives."	"Jeg kjenner frykt når jeg tenker på hvordan klimaendringer vil påvirke folks liv."	"APP10"
"Zmiana klimatu sprawia, że czuję się jakbym żył[[//a]] z diagnozą śmiertelnej choroby."	"Climate change makes me feel like I have been diagnosed with a terminal illness."	"Klimaendringene gjør at det føles som om jeg er diagnostisert med en dødelig sykdom."	"HOPL7"
"Świadomość zmiany klimatu odbiera mi radość życia."	"Being aware of climate change takes away the joy in my life."	"Bevisstheten om at klimaet endrer seg, fratar meg livsgleden."	"HOPL1"
"Z niepokojem myślę o skutkach zmiany klimatu."	"I am anxious when I think about the negative effects of climate change."	"Jeg blir engstelig når jeg tenker på følgene av klimaendringene."	"APP2"
"Myśli o zmianie klimatu sprawiają, że boję się o przyszłość naszych dzieci."	"Thinking about climate change makes me fear for the future of our children."	"Tanken på klimaendringene gjør at jeg frykter for barns fremtid."	"APP7"
"Przytłacza mnie świadomość nadchodzącej katastrofy klimatycznej."	"I am overwhelmed by the awareness of the approaching climate disaster."	"Bevisstheten om den kommende klimakatastrofen overvelder meg."	"HOPL5"
"Ze względu na zmianę klimatu wszystko wydaje się niepewne."	"Everything seems uncertain because of climate change."	"På grunn av klimaendringene virker alt uvisst."	"HOPL11"
"Boję się, jak zmiana klimatu dotknie mnie i moich bliskich."	"I fear how climate change will affect me and my loved ones."	"Jeg er redd for hvordan klimaendringene vil ramme meg og mine nærmeste."	"APP14"
"Czuję żal, gdy myślę o znikających bezpowrotnie gatunkach zwierząt i roślin w następstwie zmiany klimatu."	"The thought of so many species going extinct under the pressure of climate change fills me with sorrow."	"Tanken på at så mange arter utryddes på grunn av klimaendringer fyller meg med sorg."	"SOR13"
"Smutno mi z powodu świata, który odchodzi bezpowrotnie w wyniku zmiany klimatu."	"The thought that the world I know is disappearing forever because of climate change makes me sad."	"Tanken på at verden slik jeg kjenner den forsvinner for alltid på grunn av klimaendringer gjør meg trist."	"SOR6"
"Jest mi przykro, gdy myślę o możliwościach, które nieodwracalnie tracimy wraz z postępującą zmianą klimatu."	"I feel sorry about the possibilities we are losing forever because of climate change."	"Jeg er lei meg for mulighetene vi mister for godt på grunn av klimaendringer."	"SOR4"
"Smuci mnie, że przez zmianę klimatu cierpi tyle stworzeń."	"I am sad that so many living creatures suffer because of climate change."	"Jeg er trist over at så mange levende skapninger lider på grunn av klimaendringer."	"SOR14"
