code	subquestion	subquestion_ENG
ANG12	Czuję złość w stosunku do ludzi u władzy, którzy mają moc zmienienia wielu rzeczy, ale nadal działają na szkodę klimatu.	I feel anger towards people in power, who have the agency to create change, but continue taking action that harms the climate.
ANG13	Jestem wściekła/y, że politycy pozwolili zmianie klimatu zajść tak daleko.	I am outraged that politicians allowed for climate change to come this far.
ANG14	Czuję złość na to, że system polityczno-gospodarczy, w którym żyjemy, jest szkodliwy dla klimatu.	I feel angry that the political and economic system that we live in is harmful towards the climate.
IRR1	Czuję złość, gdy widzę, że inni ludzie nie przejmują się zmianą klimatu.	I feel anger when I see other people who do not care about climate change.
IRR2	Złości mnie to, kiedy ludzie w moim otoczeniu zachowują się tak, jakby nie obchodziła ich zmiana klimatu.	It makes me angry when the people around me act like they don’t care about climate change.
IRR3	Ręce mi opadają na myśl o ludziach, których nie obchodzi zmiana klimatu.	I feel hopeless when I think of people who don’t care about climate change.
IRR4	Irytuje mnie to, że ludzie dookoła mnie nie uważają zmiany klimatu za poważny i pilny problem.	I’m annoyed with the fact that people around me don’t see the seriousness and urgency of climate change.
IRR5	Czuję się zirytowana/y, ponieważ ludzie w moim otoczeniu nie rozumieją powagi zmiany klimatu.	I feel annoyed because many people around me don’t understand the seriousness of climate change.
IRR6	Drażni mnie, gdy ludzie nie dostrzegają, jak pilna jest potrzeba działania na rzecz klimatu.	I get irritated when people don’t understand the urgency of fighting climate change.
IRR7	Drażnią mnie ludzie w moim otoczeniu, którzy nie wykazują zaangażowania w sprawę zmiany klimatu.	I’m irritated by the people around me who are not committed to fighting climate change.
IRR8	Irytuje mnie brak zaangażowania społeczeństwa w walkę ze zmianą klimatu.	I’m annoyed by the public lack of involvement in fighting climate change.
IRR9	Denerwuję się, gdy widzę jak ludzie bezrefleksyjnie zachowują się w sposób szkodzący klimatowi.	I get angry when I see people thoughtlessly acting in a way that is harmful to the climate.
IRR10	Irytują mnie ludzie, którzy żyją, jakby nie było zmiany klimatu.	I’m annoyed by people who live like there is no climate change.
IRR11	Nie mogę znieść tego, że wielu ludzi żyje, jakby zmiana klimatu nie stanowiła problemu.	I cannot stand the fact that many people live as if climate change was not a problem.
IRR12	Drażni mnie, gdy ludzie w moim otoczeniu zachowują się w sposób szkodliwy dla klimatu.	I feel annoyed when the people around me act in a way that is harmful to the climate.
IRR13	Ludzie sami sobie zasłużyli na katastrofę klimatyczną.	People got what they deserve by the climate changing.
IRR14	Złoszczą mnie ludzie, którzy ignorują zmianę klimatu.	I am mad at people who ignore climate change.
APP1	Wizja przyszłości w dobie zmiany klimatu wywołuje we mnie lęk.	I am full of fear when I think of the future in times of climate change.
APP2	Z niepokojem myślę o skutkach zmiany klimatu.	I am concerned about the effects of climate change.
APP3	Obawiam się tego, co nastąpi w wyniku zmiany klimatu.	I fear what will happen due to climate change.
APP4	Niepokoją mnie skutki zmiany klimatu, które już obserwujemy.	I am concerned about the climate change consequences that we are already witnessing.
APP5	Zdarza mi się czuć niepokój na myśl o tym, co dzieje się w wyniku zmiany klimatu.	I sometimes feel anxious when thinking about all that is happening as a result of climate change.
APP6	Czuję niepokój, gdy myślę o zmianie klimatu.	I feel anxious when I think of climate change.
APP7	Myśli o zmianie klimatu sprawiają, że boję się o przyszłość naszych dzieci.	I fear the future of our children when I think of climate change.
APP8	Odczuwam niepokój, że ze względu na zmianę klimatu życie przyszłych pokoleń będzie trudniejsze.	I feel anxious because, due to climate change, the lives of future generations will be more difficult.
APP9	Boję się życia w świecie dotkniętym zmianą klimatu.	I am scared of life in a world affected by climate change.
APP10	Czuję obawę, gdy myślę o tym, jak zmiana klimatu wpłynie na życie ludzi.	I fear how climate change will affect the lives of people.
APP11	Niepokoi mnie, w jaki sposób dotknie mnie zmiana klimatu.	I am concerned with how climate change will affect me.
APP12	Czuję niepokój na myśl o tym, jaki wpływ na nasze życie będzie miała zmiana klimatu.	I feel anxious about how climate change will affect our lives.
APP13	Czasami jestem niespokojny/a myśląc o tym, co niesie ze sobą zmiana klimatu.	Sometimes I get anxious thinking about what climate change will bring.
APP14	Boję się, jak zmiana klimatu dotknie mnie i moich bliskich.	I fear how climate change will affect me and my close ones.
POWL1	Czuję bezradność wobec tego, jak skomplikowanym problemem jest zmiana klimatu.	I feel powerless towards the complexity of the climate change problem.
POWL2	Czuję się bezradna/y wobec faktu, że jako jednostka mam bardzo niewielki wpływ na to, co się dzieje z klimatem.	I feel powerless towards the fact that as an individual, I have little agency over what happens to the climate.
POWL3	Czuję bezsilność, kiedy uświadamiam sobie, że moje działania na rzecz klimatu to tylko kropla w morzu potrzeb.	I feel helpless when I realize that my climate actions are just a drop in an ocean of needs.
POWL4	Mam poczucie, że niewiele mogę zrobić, by ograniczyć zmianę klimatu.	I feel that I cannot do much to limit climate change.
POWL5	Kiedy myślę, co ja sam/a mogę zrobić na rzecz klimatu, czuję się bardzo malutka/malutki.	When I think about what I can do for the climate, I feel very small.
POWL6	Czuję bezsilność na myśl, że jednostka ma niewiele wpływu na ograniczenie zmiany klimatu.	I feel helpless at the thought of the little impact that an individual has on climate change.
POWL7	Przytłacza mnie to, jak wiele aspektów życia należałoby zmienić, by ograniczyć zmianę klimatu.	I am overwhelmed by how many changes need to be made to reduce climate change.
POWL8	Mam poczucie bezsilności w obliczu tego, jak skomplikowanym problemem jest zmiana klimatu.	I feel powerless towards how complicated climate change is.
POWL9	Dopada mnie niemoc na myśl o tym, jak trudne jest ograniczenie zmiany klimatu.	I feel powerless at the thought of how difficult it is to mitigate climate change.
POWL10	Czuję bezsilność z powodu tego, że jestem częścią systemu, który ma negatywny wpływ na klimat.	I feel helpless because I am part of a system that has a negative impact on the climate.
POWL11	Czuję dezorientację, jeśli chodzi o to, co mogę tak naprawdę zrobić, by ograniczyć zmianę klimatu.	I feel disoriented over what I can do to reduce climate change.
POWL12	Trudno mi zrozumieć, jak właściwie mam postępować, by pomóc skutecznie przeciwdziałać zmianie klimatu.	It’s difficult for me to understand what I can do to help fight climate change effectively.
POWL13	Czuję bezsilność, kiedy myślę o tym, jak trudno jest żyć w sposób przyjazny dla klimatu.	I feel helpless when I think of how difficult it is to live in a climate friendly way.
POWL14	Przytłacza mnie złożoność problemu zmiany klimatu.	I’m overwhelmed by the complexity of the climate change problem.
GUI1	Wiele wyborów dnia codziennego wywołuje u mnie poczucie winy ze względu na ich negatywny wpływ na klimat.	Many of my everyday choices cause me to feel guilty because of the negative impact they have on the climate.
GUI2	Kiedy robię coś, co przyczynia się do zmiany klimatu, nachodzą mnie wyrzuty sumienia.	I feel remorse whenever I do something that contributes to climate change.
GUI3	Czuję się winna/y, gdy robię coś szkodliwego dla klimatu, na przykład gdy korzystam z samochodu lub samolotu.	I feel guilty whenever I do something that harms the climate, such as using a car or airplane.
GUI4	Mam poczucie winy, gdy robię coś, co przyczynia się do zmiany klimatu.	I feel guilty for doing things that contribute towards climate change.
GUI5	Odczuwam dyskomfort, kiedy mam zrobić coś, co wiąże się ze szkodą dla klimatu.	I feel discomfort around doing something that’s associated with climate harm.
GUI6	Denerwuję się, że mój negatywny wpływ na klimat jest zbyt duży.	It upsets me that my negative impact on climate change is so big.
GUI7	Czuję dyskomfort, kiedy myślę o moim negatywnym wpływie na klimat.	I feel uncomfortable when I think about my negative impact on the climate.
GUI8	Mam poczucie winy, że sposób, w jaki żyję, przyczynia się do zmiany klimatu	I feel guilty that my lifestyle contributes to climate change.
GUI9	Mam wyrzuty sumienia, że robię zbyt mało, by ograniczyć zmianę klimatu.	I feel remorse for not doing enough to mitigate climate change.
GUI10	Czuję napięcie, gdy myślę, że moje działania na rzecz ograniczenia zmiany klimatu są niewystarczające.	I feel tense when I think about my climate change reducing actions not being enough.
GUI11	Mam wyrzuty sumienia, że nie robię wystarczająco dużo, żeby przeciwdziałać zmianie klimatu.	I have guilt around not doing enough to fight climate change.
GUI12	Jestem zła/y na siebie, że nie robię wystarczająco dużo, by ograniczyć mój wpływ na klimat.	I am mad at myself for not doing enough to restrain my impact on the climate.
GUI13	Stresuję się, że powinnam/powinienem robić więcej, by przeciwdziałać zmianie klimatu.	I am stressed that I should do more to fight climate change.
GUI14	Mam do siebie pretensje, że nie robię więcej, by pomóc w walce ze zmianą klimatu.	I shame myself for not doing more to help with the fight against climate change.
HOPL1	Świadomość zmiany klimatu odbiera mi radość życia.	Being aware of climate change limits the joy in my life.
HOPL2	Kiedy patrzę w przyszłość, ze względu na zmianę klimatu trudno mi dostrzec tam miejsce na radość.	It is difficult for me to find joy in the future, as a result of climate change.
HOPL3	Czuję rozpacz na myśl o skutkach zmiany klimatu.	I feel despair when I think about the effects of climate change.
HOPL4	Przytłacza mnie to, co czuję odnośnie zmiany klimatu.	I am overwhelmed by my feelings towards climate change.
HOPL5	Przytłacza mnie świadomość nadchodzącej katastrofy klimatycznej.	I am overwhelmed by the awareness of the upcoming climate disaster.
HOPL6	Czuję, że nasza sytuacja jeśli chodzi o zmianę klimatu jest beznadziejna.	I feel that our climate situation is hopeless.
HOPL7	Zmiana klimatu sprawia, że czuję się jakbym żył/a z diagnozą śmiertelnej choroby.	Climate change makes me feel like I am living with a diagnosis for a terminal illness.
HOPL8	Jestem pozbawiony/a nadziei na przyszłość w obliczu tego, co dzieje się z klimatem.	I have no hope for the future in face of what is happening with the climate.
HOPL9	Czuję, że nie ma przyszłości w świecie dotkniętym skutkami zmiany klimatu.	I feel that I have no future in a world that is facing the effects of climate change.
HOPL10	W obliczu zmiany klimatu trudno jest mi robić plany na przyszłość.	It is difficult for me to plan for the future in the face of climate change.
HOPL11	Ze względu na zmianę klimatu wszystko wydaje się niepewne.	Everything seems uncertain because of climate change.
HOPL12	Kiedy myślę o zmianie klimatu, to czuję się jakbym balansował/a na skraju przepaści.	When I think of climate change, I feel like I’m balancing on the edge of the abyss.
HOPL13	Ze względu na zmianę klimatu przyszłość rysuje się w ciemnych barwach.	The future looks very dim due to climate change
HOPL14	Boję się, że moja przyszłość w dobie zmiany klimatu wypełniona będzie cierpieniem.	I am afraid that my future in the face of climate change will be full of suffering.
ISO1	Czuję się wyobcowana/y w moich odczuciach wobec zmiany klimatu.	I feel left out in my feelings regarding climate change.
ISO2	Czuję się osamotniona/y w mojej trosce o zmianę klimatu.	I feel lonely in my concern for climate change.
ISO3	Czuję się jakbym był/a jedyną osobą w moim otoczeniu, która przejmuje się zmianą klimatu.	I feel like the only person in my surroundings that cares about climate change.
ISO4	Czuję, jakbym był/a jedną z niewielu osób, które naprawdę rozumieją, z czym wiąże się zmiana klimatu.	I feel like one of the few people who actually understand what climate change really means.
ISO5	Czuję się osamotniona/y, ponieważ większość ludzi w moim otoczeniu nie martwi się zmianą klimatu tak, jak ja.	I feel lonely because most of the people in my surroundings don’t care about climate change like I do.
ISO6	Trudno mi czuć się częścią społeczeństwa, które lekceważy zmianę klimatu.	I find it difficult to feel part of a society that ignores climate change.
ISO7	Czuję, że trudno byłoby mi podzielić się moim zmartwieniem dotyczącym zmiany klimatu z większością ludzi wokół mnie.	I feel difficulty in sharing my worries about climate change with most of the people around me.
ISO8	Czuję osamotnienie, ponieważ trudno mi rozmawiać z innymi o mojej trosce dotyczącej zmiany klimatu.	I feel lonely because it’s difficult to talk about my climate change concerns with other people.
ISO9	Czasem czuję się samotna/y, bo ludzie po prostu żyją, jakby nie było zmiany klimatu.	Sometimes I feel lonely because people live as if climate change doesn’t exist.
ISO10	Zdarza mi się czuć samotnym/ą, bo ludzie nie traktują zmiany klimatu poważnie.	I tend to feel lonely because people don’t take climate change seriously.
ISO11	Czuję się opuszczona/y przez ludzi, którzy mają możliwość wpływu na ograniczenie zmiany klimatu.	I feel abandoned by the people who have the power to reduce climate change.
ISO12	Czuję się wyobcowana/y, ponieważ społeczeństwo uważa troskę o zmianę klimatu za coś dziwacznego.	I feel left out because society considers the concern for climate change as something strange.
ISO13	Czuję się osamotniony/a, kiedy inni nie rozumieją moich obaw w stosunku do zmiany klimatu.	I feel lonely when others don’t understand my concerns about climate change.
ISO14	Czuję się odizolowana/y od reszty społeczeństwa, ponieważ inni nie przejmują się zmianą klimatu tak bardzo, jak ja.	I feel isolated from the rest of society because others don’t care about climate change as much as I do.
HOPF1	Czuję nadzieję, gdy wprowadzane są rozwiązania ograniczające zmianę klimatu.	I feel hopeful when actions of limiting climate change are implemented.
HOPF2	Jestem pełna/pełen nadziei, gdy wprowadza się rozwiązania, które pomogą nam ograniczyć nasz negatywny wpływ na klimat.	I feel full of hope when I see solutions that will help us reduce our negative impact on the climate.
HOPF3	Nowe pomysły na ograniczenie zmiany klimatu dają mi nadzieję.	New ideas for climate change reduction give me hope.
HOPF4	Uspokajają mnie przykłady rozwiązań łagodzących zmianę klimatu.	Seeing examples of solutions to mitigate climate change calms me down.
HOPF5	Wypełnia mnie poczucie optymizmu, gdy widzę przykłady działań na rzecz ograniczenia zmiany klimatu.	I am filled with optimism when I see examples of actions aimed at reducing climate change.
HOPF6	Wprowadzane rozwiązania ograniczające zmianę klimatu dają mi dużo wiary w przyszłość.	The solutions introduced to limit climate change give me great hope for the future.
HOPF7	Wysiłki na rzecz ochrony klimatu sprawiają, że ze spokojem myślę o przyszłości.	Efforts to protect the climate make me think about the future with a sense of calm.
HOPF8	Konkretne działania na rzecz klimatu pozwalają mi optymistycznie patrzeć w przyszłość.	Concrete climate actions allow me to be optimistic about the future.
HOPF9	Wierzę, że pojawiące się rozwiązania pozwolą nam zahamować zmianę klimatu.	I believe that the emerging solutions will allow us to stop climate change.
HOPF10	Z nadzieją patrzę w przyszłość, widząc tempo pozytywnych zmian na rzecz klimatu.	I look to the future with hope when I see the pace of positive climate changes.
HOPF11	Liczę na to, że nowe technologie pozwolą nam zapanować nad zmianą klimatu.	I am hoping that new technologies will allow us to control climate change.
HOPF12	Jestem pełna/pełen ufności, że uda nam się ograniczyć zmianę klimatu.	I am full of trust that we will succeed in reducing climate change.
HOPF13	Mam w sobie dużo wiary, że uda się nam opanować zmianę klimatu.	I have a lot of hope that we will succeed in controlling climate change.
HOPF14	Jeśli chodzi o zmianę klimatu, to wierzę, że w przyszłości wszystko się ułoży.	In terms of climate change, I believe that everything will be fine in the future.
EMP1	Widok ludzi, którzy wspólnie działają na rzecz klimatu dodaje mi siły do działania.	Seeing people work together for the benefit of the climate gives me strength to act.
EMP2	Presja społeczna, by przeciwdziałać zmianie klimatu dodaje mi zapału do działania.	I am motivated by the social pressure that’s being put on resisting climate change.
EMP3	Inspirują mnie osoby działające w organizacjach na rzecz klimatu.	I am inspired by people working in climate organizations.
EMP4	Czuję radość, gdy widzę, że ludzie angażują się w działania na rzecz klimatu.	I am happy to see people involved in climate action.
EMP5	Cieszy mnie solidarność ludzi w domaganiu się zdecydowanych działań na rzecz klimatu.	I am happy to see solidarity in the demand for decisive action concerning the climate.
EMP6	Mam poczucie sensu wspólnych działań na rzecz klimatu.	I feel a sense of purpose in coming together to take action for the climate.
EMP7	Mobilizacja społeczna w kwestii przeciwdziałania zmianie klimatu daje mi poczucie, że razem możemy osiągnąć ten cel.	Seeing the public mobilization to act in resistance towards climate change, gives me the feeling that together we can achieve this goal.
EMP8	Cieszy mnie, że mam wokół siebie ludzi, którzy przejmują się zmianą klimatu.	I am happy to be surrounded by people who care about climate change.
EMP9	Świadomość, że istnieją ludzie, którzy przejmują się zmianą klimatu, daje mi siłę do działania.	Knowing that there are people who care about climate change, gives me the strength to act.
EMP10	Rozmowy z ludźmi, którzy przejmują się zmianą klimatu dodają mi energii do działania.	Conversations with people who care about climate change, give me the energy to act.
EMP11	Czuję przypływ energii, gdy spotykam ludzi, którzy traktują zmianę klimatu na serio.	I feel a surge of energy when meeting people who take climate change seriously.
EMP12	Rosnące zaangażowanie społeczne w kwestie zmiany klimatu budzi we mnie nadzieję.	The increasing public awareness of climate change gives me hope.
EMP13	Zaangażowanie młodych ludzi w kwestie zmiany klimatu daje mi nadzieję na przyszłość.	Seeing young people take part in climate change resistance gives me hope for the future.
EMP14	To, że coraz więcej ludzi uświadamia sobie zagrożenia związane ze zmianą klimatu, daje mi nadzieję.	The fact that more people are becoming aware of the dangers of climate change, gives me hope.
DIS1	Złości mnie, że ludzie zajmują się zmianą klimatu.	I am angry that people are concerned with climate change.
DIS2	Czuję złość, że ludzie ulegają panice związanej ze zmianą klimatu.	I feel anger when people panic over climate change.
DIS3	Irytuje mnie, że społeczeństwo naiwnie wierzy w rzekomą konieczność przeciwdziałania zmianie klimatu.	I am annoyed that society naively believes in the alleged need to fight climate change.
DIS4	Złości mnie alarmistyczna narracja mediów i polityków o “kryzysie klimatycznym”.	I am angered by the alarmist narrative of the media and politicians about the “climate crisis”.
DIS5	Drażni mnie, gdy po raz kolejny słucham ludzi ulegających histerii klimatycznej.	I get annoyed when I keep hearing people succumb to climate hysteria.
DIS6	Czuję wściekłość, gdy media głównego nurtu wciąż trąbią o zmianie klimatu.	It is infuriating when the media keeps on buzzing about the climate crisis.
DIS7	Denerwuje mnie ciągłe nagłaśnianie kwestii globalnego ocieplenia.	I am annoyed by the constant publicity of global warming.
DIS8	Czuję frustrację, że zmusza się nas do przejmowania się zmianą klimatu.	I am frustrated that we’re forced to care about climate change.
DIS9	To skandal, że tak dużo pieniędzy wydaje się na zwalczanie zmiany klimatu.	It is absurd that so much money is being spent on resisting climate change.
DIS10	Czuję oburzenie, że poświęca się mnóstwo czasu i energii na walkę ze zmianą klimatu.	I am disgusted by so much time and energy being spent on fighting climate change.
DIS11	Drażni mnie, że pod przykrywką ograniczania zmiany klimatu dyktują nam, jak mamy żyć.	I am annoyed that under the facade of resisting climate change, they are actually telling us how to live.
DIS12	Mam dosyć tego, że moje wolności są ograniczane pod pretekstem przeciwdziałania zmianie klimatu.	I am sick of my freedom being limited under the pretext of resisting climate change.
DIS13	Złości mnie, że oczekuje się ode mnie wyrzeczeń w związku ze zwalczaniem zmiany klimatu.	I am upset that sacrifices are expected of me in order to fight climate change.
DIS14	Jestem zła/zły, że oczekuje się ode mnie zrezygnowania z wygód na rzecz walki ze zmianą klimatu.	It angers me that I am expected to give up my own comforts for the sake of fighting climate change.
IND1	Czuję się znudzona/y tematem zmiany klimatu.	I am bored by the topic of climate change.
IND2	Nudzi mnie słuchanie o zmianie klimatu.	Listening about climate change is boring.
IND3	Temat zmiany klimatu jest mi obojętny.	I am indifferent to the topic of climate change.
IND4	Zmiana klimatu w zasadzie nie porusza mnie emocjonalnie.	Climate change does not move me emotionally.
IND5	Nie czuję żadnych emocji w związku ze zmianą klimatu.	I do not feel any emotions regarding climate change.
IND6	Niespecjalnie porusza mnie temat zmiany klimatu.	I am not particularly concerned with the topic of climate change.
IND7	Jestem znużony/a tematem zmiany klimatu.	I am tired of the topic of climate change.
IND8	Temat zmiany klimatu nieszczególnie mnie ciekawi.	I am not particularly interested in the topic of climate change.
IND9	Mam mało przemyśleń, jeżeli chodzi o kwestię zmiany klimatu.	I do not have many thoughts regarding climate change.
IND10	Mam ważniejsze sprawy na głowie, niż zajmowanie się zmianą klimatu.	I have more important things on my mind than dealing with climate change.
IND11	Mam ciekawsze zajęcia, niż myślenie o zmianie klimatu.	I have more interesting activities to do, than think about climate change.
IND12	Trudno mi zrozumieć ludzi, którzy reagują emocjonalnie na temat zmiany klimatu.	It is difficult for me to understand people who react so emotionally about climate change.
IND13	Dziwi mnie, że ludzie odczuwają silne emocje w stosunku do zmiany klimatu.	It is strange to me that people feel such strong emotions about climate change.
IND14	Czuję, że zmiana klimatu nie jest tematem wartym specjalnej uwagi.	I do not feel that climate change is a topic that needs special attention.
