"FACTOR"	"CODE"	"ITEM TEXT"	"ITEM TEXT EN"	"LOAD"
"1"	"HOPL10"	"W obliczu zmiany klimatu trudno jest mi robić plany na przyszłość."	"It is difficult for me to plan for the future in the face of climate change."	"-0.63"
"1"	"APP12"	"Czuję niepokój na myśl o tym, jaki wpływ na nasze życie będzie miała zmiana klimatu."	"I feel anxious about how climate change will affect our lives."	"-0.65"
"2"	"DIS2"	"Czuję złość, że ludzie ulegają panice związanej ze zmianą klimatu."	"I feel anger when people panic over climate change."	"-0.79"
"2"	"DIS11"	"Drażni mnie, że pod przykrywką ograniczania zmiany klimatu dyktują nam, jak mamy żyć."	"I am annoyed that under the facade of resisting climate change, they are actually telling us how to live."	"-0.74"
"2"	"IND7"	"Jestem znużony/a tematem zmiany klimatu."	"I am tired of the topic of climate change."	"-0.78"
"2"	"DIS6"	"Czuję wściekłość, gdy media głównego nurtu wciąż trąbią o zmianie klimatu."	"It is infuriating when the media keeps on buzzing about the climate crisis."	"-0.89"
"2"	"IND3"	"Temat zmiany klimatu jest mi obojętny."	"I am indifferent to the topic of climate change."	"-0.55"
"2"	"DIS14"	"Jestem zła/zły, że oczekuje się ode mnie zrezygnowania z wygód na rzecz walki ze zmianą klimatu."	"It angers me that I am expected to give up my own comforts for the sake of fighting climate change."	"-0.75"
"2"	"IND14"	"Czuję, że zmiana klimatu nie jest tematem wartym specjalnej uwagi."	"I do not feel that climate change is a topic that needs special attention."	"-0.6"
"2"	"DIS5"	"Drażni mnie, gdy po raz kolejny słucham ludzi ulegających histerii klimatycznej."	"It annoys me to watch people succumb to climate hysteria."	"-0.75"
"2"	"DIS12"	"Mam dosyć tego, że moje wolności są ograniczane pod pretekstem przeciwdziałania zmianie klimatu."	"I am sick of my freedom being limited under the pretext of resisting climate change."	"-0.8"
"2"	"IND12"	"Trudno mi zrozumieć ludzi, którzy reagują emocjonalnie na temat zmiany klimatu."	"It is difficult for me to understand people who react so emotionally about climate change."	"-0.66"
"2"	"DIS3"	"Irytuje mnie, że społeczeństwo naiwnie wierzy w rzekomą konieczność przeciwdziałania zmianie klimatu."	"I am annoyed that society naively believes in the alleged need to fight climate change."	"-0.62"
"2"	"DIS13"	"Złości mnie, że oczekuje się ode mnie wyrzeczeń w związku ze zwalczaniem zmiany klimatu."	"It makes me angry that sacrifices are expected of me to fight climate change."	"-0.81"
"2"	"IND8"	"Temat zmiany klimatu nieszczególnie mnie ciekawi."	"I am not particularly interested in the topic of climate change."	"-0.57"
"2"	"DIS9"	"To skandal, że tak dużo pieniędzy wydaje się na zwalczanie zmiany klimatu."	"It is absurd that so much money is being spent on resisting climate change."	"-0.81"
"2"	"IND1"	"Czuję się znudzona/y tematem zmiany klimatu."	"I am bored by the topic of climate change."	"-0.78"
"2"	"DIS8"	"Czuję frustrację, że zmusza się nas do przejmowania się zmianą klimatu."	"I am frustrated that we’re forced to care about climate change."	"-0.85"
"2"	"IND4"	"Zmiana klimatu w zasadzie nie porusza mnie emocjonalnie."	"Climate change does not move me emotionally."	"-0.61"
"2"	"DIS10"	"Czuję oburzenie, że poświęca się mnóstwo czasu i energii na walkę ze zmianą klimatu."	"I feel outraged that so much time and energy is being spent fighting climate change."	"-0.75"
"2"	"DIS4"	"Złości mnie alarmistyczna narracja mediów i polityków o “kryzysie klimatycznym”."	"I am angered by the alarmist narrative of the media and politicians about the “climate crisis”."	"-0.74"
"2"	"IND6"	"Niespecjalnie porusza mnie temat zmiany klimatu."	"I am not particularly moved by the topic of climate change."	"-0.59"
"2"	"DIS7"	"Denerwuje mnie ciągłe nagłaśnianie kwestii globalnego ocieplenia."	"I am annoyed by the constant publicity around climate change."	"-0.88"
"2"	"IND2"	"Nudzi mnie słuchanie o zmianie klimatu."	"I am bored of hearing about climate change."	"-0.73"
"2"	"DIS1"	"Złości mnie, że ludzie zajmują się zmianą klimatu."	"I am angry that people are concerned with climate change."	"-0.71"
"2"	"IND13"	"Dziwi mnie, że ludzie odczuwają silne emocje w stosunku do zmiany klimatu."	"I am surprised that people experience strong emotions in connection with climate change."	"-0.68"
"3"	"HOPF7"	"Wysiłki na rzecz ochrony klimatu sprawiają, że ze spokojem myślę o przyszłości."	"Efforts to protect the climate make me think about the future with a sense of calm."	"-0.73"
"3"	"EMP12"	"Rosnące zaangażowanie społeczne w kwestie zmiany klimatu budzi we mnie nadzieję."	"The increasing public engagement with climate change gives me hope."	"-0.59"
"3"	"HOPF14"	"Jeśli chodzi o zmianę klimatu, to wierzę, że w przyszłości wszystko się ułoży."	"In terms of climate change, I believe that everything will be fine in the future."	"-0.71"
"3"	"HOPF5"	"Wypełnia mnie poczucie optymizmu, gdy widzę przykłady działań na rzecz ograniczenia zmiany klimatu."	"I am filled with optimism when I see examples of actions aimed at reducing climate change."	"-0.73"
"3"	"HOPF11"	"Liczę na to, że nowe technologie pozwolą nam zapanować nad zmianą klimatu."	"I am hoping that new technologies will allow us to control climate change."	"-0.64"
"3"	"HOPF4"	"Uspokajają mnie przykłady rozwiązań łagodzących zmianę klimatu."	"Seeing examples of solutions to mitigate climate change calms me down."	"-0.8"
"3"	"HOPF9"	"Wierzę, że pojawiące się rozwiązania pozwolą nam zahamować zmianę klimatu."	"I believe that there are emerging solutions that will allow us to stop climate change."	"-0.82"
"3"	"HOPF3"	"Nowe pomysły na ograniczenie zmiany klimatu dają mi nadzieję."	"New ideas for climate change reduction give me hope."	"-0.74"
"3"	"HOPF8"	"Konkretne działania na rzecz klimatu pozwalają mi optymistycznie patrzeć w przyszłość."	"Concrete actions for the climate allow me to be optimistic about the future."	"-0.79"
"3"	"HOPF12"	"Jestem pełna/pełen ufności, że uda nam się ograniczyć zmianę klimatu."	"I am full of trust that we will succeed in reducing climate change."	"-0.88"
"3"	"HOPF10"	"Z nadzieją patrzę w przyszłość, widząc tempo pozytywnych zmian na rzecz klimatu."	"I am hopeful about the future when I see the pace of positive changes for climate protection."	"-0.8"
"3"	"EMP14"	"To, że coraz więcej ludzi uświadamia sobie zagrożenia związane ze zmianą klimatu, daje mi nadzieję."	"Knowing that more and more people are becoming aware of the dangers of climate change gives me hope."	"-0.55"
"3"	"HOPF13"	"Mam w sobie dużo wiary, że uda się nam opanować zmianę klimatu."	"I strongly believe that we will be able to tackle climate change."	"-0.88"
"3"	"EMP7"	"Mobilizacja społeczna w kwestii przeciwdziałania zmianie klimatu daje mi poczucie, że razem możemy osiągnąć ten cel."	"Social mobilisation in the fight against climate change makes me feel that together we can achieve this goal."	"-0.56"
"3"	"HOPF2"	"Jestem pełna/pełen nadziei, gdy wprowadza się rozwiązania, które pomogą nam ograniczyć nasz negatywny wpływ na klimat."	"I feel full of hope when I see solutions that will help us reduce our negative impact on the climate."	"-0.72"
"3"	"EMP13"	"Zaangażowanie młodych ludzi w kwestie zmiany klimatu daje mi nadzieję na przyszłość."	"Seeing young people take part in climate change resistance gives me hope for the future."	"-0.53"
"3"	"HOPF1"	"Czuję nadzieję, gdy wprowadzane są rozwiązania ograniczające zmianę klimatu."	"I feel hopeful when actions of limiting climate change are implemented."	"-0.56"
"3"	"HOPF6"	"Wprowadzane rozwiązania ograniczające zmianę klimatu dają mi dużo wiary w przyszłość."	"The solutions introduced to limit climate change give me great hope for the future."	"-0.73"
"4"	"POWL11"	"Czuję dezorientację, jeśli chodzi o to, co mogę tak naprawdę zrobić, by ograniczyć zmianę klimatu."	"I feel confused about what I can do to reduce climate change."	"-0.61"
"4"	"POWL6"	"Czuję bezsilność na myśl, że jednostka ma niewiele wpływu na ograniczenie zmiany klimatu."	"I feel helpless at the thought of the little impact that an individual has on climate change."	"-0.66"
"4"	"POWL5"	"Kiedy myślę, co ja sam/a mogę zrobić na rzecz klimatu, czuję się bardzo malutka/malutki."	"When I think about what I can do to mitigate climate change, I feel very small."	"-0.6"
"4"	"POWL1"	"Czuję bezradność wobec tego, jak skomplikowanym problemem jest zmiana klimatu."	"I feel powerless towards the complexity of the climate change problem."	"-0.53"
"4"	"POWL4"	"Mam poczucie, że niewiele mogę zrobić, by ograniczyć zmianę klimatu."	"I feel there isn't much I can do to limit climate change."	"-0.74"
"4"	"POWL8"	"Mam poczucie bezsilności w obliczu tego, jak skomplikowanym problemem jest zmiana klimatu."	"I feel powerless in the face of the complexity of the climate change problem."	"-0.6"
"4"	"POWL2"	"Czuję się bezradna/y wobec faktu, że jako jednostka mam bardzo niewielki wpływ na to, co się dzieje z klimatem."	"As an individual, I feel powerless with little agency over what happens with the climate."	"-0.69"
"4"	"POWL13"	"Czuję bezsilność, kiedy myślę o tym, jak trudno jest żyć w sposób przyjazny dla klimatu."	"I feel helpless when I think of how difficult it is to live in a climate-friendly way."	"-0.54"
"5"	"GUI11"	"Mam wyrzuty sumienia, że nie robię wystarczająco dużo, żeby przeciwdziałać zmianie klimatu."	"I have a guilty conscience about not doing enough to mitigate climate change."	"0.8"
"5"	"GUI6"	"Denerwuję się, że mój negatywny wpływ na klimat jest zbyt duży."	"It upsets me that I have a big negative impact on the climate."	"0.65"
"5"	"GUI8"	"Mam poczucie winy, że sposób, w jaki żyję, przyczynia się do zmiany klimatu"	"I feel guilty that my lifestyle contributes to climate change."	"0.72"
"5"	"GUI9"	"Mam wyrzuty sumienia, że robię zbyt mało, by ograniczyć zmianę klimatu."	"I feel remorse for doing too little to mitigate climate change."	"0.75"
"5"	"GUI4"	"Mam poczucie winy, gdy robię coś, co przyczynia się do zmiany klimatu."	"I have a sense of guilt for doing things that contribute to climate change."	"0.6"
"5"	"GUI13"	"Stresuję się, że powinnam/powinienem robić więcej, by przeciwdziałać zmianie klimatu."	"I am stressed that I should do more to fight climate change."	"0.54"
"5"	"GUI12"	"Jestem zła/y na siebie, że nie robię wystarczająco dużo, by ograniczyć mój wpływ na klimat."	"I am angry at myself for not doing enough to limit my negative impact on the climate."	"0.79"
"5"	"GUI14"	"Mam do siebie pretensje, że nie robię więcej, by pomóc w walce ze zmianą klimatu."	"I blame myself for not doing more to help with the fight against climate change."	"0.74"
"6"	"ISO4"	"Czuję, jakbym był/a jedną z niewielu osób, które naprawdę rozumieją, z czym wiąże się zmiana klimatu."	"I feel like one of the few people who actually understand what climate change entails."	"0.64"
"6"	"ISO14"	"Czuję się odizolowana/y od reszty społeczeństwa, ponieważ inni nie przejmują się zmianą klimatu tak bardzo, jak ja."	"I feel isolated from the rest of society because others don’t care about climate change as much as I do."	"0.78"
"6"	"ISO5"	"Czuję się osamotniona/y, ponieważ większość ludzi w moim otoczeniu nie martwi się zmianą klimatu tak, jak ja."	"I feel lonely because most of the people around me don’t care about climate change as much as I do."	"0.81"
"6"	"IRR5"	"Czuję się zirytowana/y, ponieważ ludzie w moim otoczeniu nie rozumieją powagi zmiany klimatu."	"I feel annoyed because many people around me don’t understand the seriousness of climate change."	"0.56"
"6"	"ISO8"	"Czuję osamotnienie, ponieważ trudno mi rozmawiać z innymi o mojej trosce dotyczącej zmiany klimatu."	"I feel lonely because it’s difficult to talk about my climate change concerns with other people."	"0.75"
"6"	"ISO7"	"Czuję, że trudno byłoby mi podzielić się moim zmartwieniem dotyczącym zmiany klimatu z większością ludzi wokół mnie."	"I feel difficulty in sharing my worries about climate change with most of the people around me."	"0.58"
"6"	"ISO1"	"Czuję się wyobcowana/y w moich odczuciach wobec zmiany klimatu."	"I feel left out in my feelings regarding climate change."	"0.67"
"6"	"ISO3"	"Czuję się jakbym był/a jedyną osobą w moim otoczeniu, która przejmuje się zmianą klimatu."	"I feel as if I were the only person around who cares about climate change."	"0.79"
"6"	"ISO10"	"Zdarza mi się czuć samotnym/ą, bo ludzie nie traktują zmiany klimatu poważnie."	"I tend to feel lonely because people don’t take climate change seriously."	"0.61"
"6"	"ISO12"	"Czuję się wyobcowana/y, ponieważ społeczeństwo uważa troskę o zmianę klimatu za coś dziwacznego."	"I feel alienated because society considers concern for climate change as something strange."	"0.73"
"6"	"ISO2"	"Czuję się osamotniona/y w mojej trosce o zmianę klimatu."	"I feel alone in my concern for climate change."	"0.8"
"7"	"IRR1"	"Czuję złość, gdy widzę, że inni ludzie nie przejmują się zmianą klimatu."	"I feel anger when I see other people who do not care about climate change."	"-0.72"
"7"	"ISO6"	"Trudno mi czuć się częścią społeczeństwa, które lekceważy zmianę klimatu."	"I find it difficult to feel part of a society that ignores climate change."	"-0.55"
"7"	"IRR14"	"Złoszczą mnie ludzie, którzy ignorują zmianę klimatu."	"I am mad at people who ignore climate change."	"-0.7"
"7"	"GUI5"	"Odczuwam dyskomfort, kiedy mam zrobić coś, co wiąże się ze szkodą dla klimatu."	"I feel discomfort around doing something that’s associated with climate harm."	"-0.53"
"7"	"IRR11"	"Nie mogę znieść tego, że wielu ludzi żyje, jakby zmiana klimatu nie stanowiła problemu."	"I cannot stand the fact that many people live as if climate change was not a problem."	"-0.56"
"7"	"IRR2"	"Złości mnie to, kiedy ludzie w moim otoczeniu zachowują się tak, jakby nie obchodziła ich zmiana klimatu."	"It makes me angry when the people around me act like they don’t care about climate change."	"-0.66"
"7"	"IRR10"	"Irytują mnie ludzie, którzy żyją, jakby nie było zmiany klimatu."	"I’m annoyed by people who live like there is no climate change."	"-0.57"
"7"	"IRR3"	"Ręce mi opadają na myśl o ludziach, których nie obchodzi zmiana klimatu."	"I feel hopeless when I think of people who don’t care about climate change."	"-0.56"
"7"	"IRR7"	"Drażnią mnie ludzie w moim otoczeniu, którzy nie wykazują zaangażowania w sprawę zmiany klimatu."	"I’m irritated by the people around me who are not committed to fighting climate change."	"-0.7"
"7"	"IRR9"	"Denerwuję się, gdy widzę jak ludzie bezrefleksyjnie zachowują się w sposób szkodzący klimatowi."	"I get angry when I see people thoughtlessly acting in a way that is harmful to the climate."	"-0.54"
"8"	"SOR13"	"Czuję żal, gdy myślę o znikających bezpowrotnie gatunkach zwierząt i roślin w następstwie zmiany klimatu."	"The thought of so many species going extinct under the pressure of climate change fills me with sorrow."	"-0.78"
"8"	"SOR8"	"Czuję smutek, kiedy obserwuję postępującą pod wpływem zmiany klimatu degradację przyrody."	"I feel saddened by the progressive degradation of nature as a result of climate change."	"-0.54"
"8"	"SOR6"	"Smutno mi z powodu świata, który odchodzi bezpowrotnie w wyniku zmiany klimatu."	"The thought that the world I know is disappearing forever because of climate change makes me sad."	"-0.58"
"8"	"SOR4"	"Jest mi przykro, gdy myślę o możliwościach, które nieodwracalnie tracimy wraz z postępującą zmianą klimatu."	"I feel sorry about the possibilities we are losing forever because of climate change."	"-0.55"
"8"	"SOR12"	"Wymieranie gatunków w następstwie zmiany klimatu wywołuje we mnie smutek."	"I am saddened by the extinction of species as a result of climate change."	"-0.75"
"8"	"SOR14"	"Smuci mnie, że przez zmianę klimatu cierpi tyle stworzeń."	"I am sad that so many living creatures suffer because of climate change."	"-0.57"
"8"	"SOR9"	"Czuję żal, gdy myślę o miejscach, które znikają przez zmianę klimatu."	"I feel sorry for all the places that are disappearing as a result of climate change."	"-0.52"
"9"	"ANG14"	"Czuję złość na to, że system polityczno-gospodarczy, w którym żyjemy, jest szkodliwy dla klimatu."	"I feel angry that the political and economic system that we live in harms the climate."	"-0.71"
"9"	"ANG2"	"Jestem wzburzony/a opieszałością polityków w kwestii przeciwdziałania zmianie klimatu."	"I am outraged by the negligence of politicians towards dealing with climate change."	"-0.8"
"9"	"ANG11"	"Czuję wściekłość na zarządy korporacji, których chciwość doprowadziła do zmiany klimatu."	"I am outraged by corporate managers whose greed led to climate change."	"-0.7"
"9"	"ANG13"	"Jestem wściekła/y, że politycy pozwolili zmianie klimatu zajść tak daleko."	"I am outraged that politicians allowed climate change to come this far."	"-0.81"
"9"	"ANG12"	"Czuję złość w stosunku do ludzi u władzy, którzy mają moc zmienienia wielu rzeczy, ale nadal działają na szkodę klimatu."	"I feel anger towards people in power, who have the agency to create change, but continue taking action that harms the climate."	"-0.82"
"9"	"ANG7"	"Czuję złość na myśl o ludziach u władzy, którzy za mało robią, by przeciwdziałać zmianie klimatu."	"I feel anger at the thought of people in power who don’t do enough to resist climate change."	"-0.79"
"9"	"ANG5"	"Złości mnie, że nasi przywódcy nie traktują zmiany klimatu poważnie."	"I am angry with our leaders for not taking climate change seriously."	"-0.81"
"9"	"ANG6"	"Jestem zły/a na liderów politycznych, którzy ignorują wiedzę naukową dotyczącą zmiany klimatu."	"I am angry at political leaders who ignore scientific knowledge about climate change."	"-0.7"
"9"	"ANG8"	"Denerwuje mnie, jak w obliczu zmiany klimatu ludzie u władzy przedkładają pieniądze nad dobro społeczeństwa i środowiska."	"It annoys me that, when faced with climate change, people in power place money above the interests of humanity and the environment."	"-0.62"
"9"	"ANG3"	"Czuję gniew na myśl o politykach, którzy odwlekają przeciwdziałanie zmianie klimatu."	"I feel anger when I think of politicians who delay efforts to mitigate climate change."	"-0.84"
"9"	"ANG1"	"Złości mnie, że rządy zrobiły tak mało, by ograniczyć zmianę klimatu."	"I am angry that governments have done so little to deal with climate change."	"-0.81"
