Numer wywiadu;Id respondenta;Zmienna addresowa ID;Wska¿ swoj¹ p³eæ.;Inna, jaka?;Wska¿ swój wiek.;k_wiek;Wska¿ pañstwo, w którym mieszkasz obecnie. Chodzi tutaj o miejsce sta³ego pobytu, a nie o pobyt tymczasowy (np. w celu wyjazdu wypoczynkowego lub s³u¿bowego).Wybierz z listy;W jakim jêzyku lub jakich jêzykach mówi siê najczêœciej w Twoim domu? Wska¿ najwy¿ej 2 jêzykiJêzyk pierwszy:;Jêzyk drugi:;Jakie masz wykszta³cenie? Chodzi tutaj o ukoñczona? przez Ciebie szko³ê? najwy¿szego szczebla.;Byæ mo¿e zetkn¹³eœ/-aœ siê z informacj¹, ¿e na Ziemi zachodzi obecnie zmiana klimatu. Korzystaj¹c z poni¿szej skali (1-5) zaznacz w jakim stopniu martwisz sie? zmiana? klimatu: gdzie 1 oznacza, ¿e w bardzo ma³ym stopniu martwiê siê zmian¹ klimatu, zaœ 5, ¿e martwiê siê w bardzo du¿ym stopniu.;k_rozk³ad;Czy zechcesz wzi¹æ udzia³ w badaniu poœwiêconym postawom wobec zmiany klimatu? Udzia³ ten polega na wype³nieniu kwestionariuszy. Zajmie to oko³o 30 minut. Po udzieleniu odpowiedzi na wszystkie pytania, otrzyma Pan/Pani wynagrodzenie w wysokoœci 30 pkt, które zostan¹ naliczone na Twoje konto w ci¹gu 7 dni.Wype³nienie kwestionariuszy wymaga koncentracji i zaanga¿owania.;
78;3d6330c819ba43eb7c05b6e64b48408d;KT6jxoQuYu0QzkL;2;;5;4;162;1;104;3;1;1;1;
79;709ecc770ced52b9b9461d16e0ad9812;hBlMN3zbSFq1abz;2;;4;3;1;1;1;4;4;2;2;
80;13ce629fbc25e23ab54146b2bdec7c44;g6j576B0fAsvVPz;2;;3;2;1;1;5;3;5;3;1;
81;acb0e7b2e04a6007b88d43e7b44caad5;n4qJr2ENMspQHhX;1;;5;4;162;1;1;1;3;1;1;
82;710df592bcc041b94fd3ba227af024d1;AqUQ7q56uWdb2AV;1;;2;1;162;1;;3;3;1;1;
83;c8c69b9fa5f127043d7a95dc72bb7a64;NF4kO5HM6HDKtr8;1;;2;1;1;1;5;2;3;1;1;
84;950898c4784faea1ea7b9a3ed9ba0349;RDIVfZilKV6JLFy;2;;5;4;162;1;1;3;5;3;1;
85;6fee50a024a776cd90ddd27717f7123c;vZoBLJ5RaUiXowi;2;;4;3;162;1;1;4;3;1;1;
86;92f67a78df777af1695f81b2a0f1171b;q8H7Zld3xi4MVMg;1;;4;3;1;1;1;2;3;1;1;
87;704b25277039745f849735327e7d274d;LG6iROBl0nK2OUP;2;;5;4;1;1;;2;4;2;2;
88;b23f134200108823ddf995e17d223ede;0yCrbpmRdYejXqj;1;;5;4;1;1;1;2;4;2;3;
89;70970842a4c9ae8bbd5f1b9a894ed445;7rx0e8Q016iWkAz;2;;5;4;162;1;;3;5;3;2;
90;47406c0f2df4837faca12ae3e117c601;DqEy8UadrZbd3u8;1;;2;1;1;1;1;3;4;2;1;
91;57ccacf8783060642d483666c9ea3006;zGVoJBx50uPZ2cu;2;;3;2;1;1;5;4;4;2;1;
92;f9a6d03885c09da21b583a56781460de;9NC116NTQsmqa7g;2;;2;1;162;1;;2;4;2;1;
93;50f83cbaecb63c073bffab2eee24539c;gNXirT2OZ5Rrxbw;2;;5;4;162;1;1;1;4;2;2;
94;246ab390b293dbf399187a3810b3dd27;U3mYQVuxZLgp3Y6;2;;3;2;1;1;5;3;1;1;1;
95;3b76aeb20c606c55d66bc3b9978ce607;uY3BB6TrkAxuh8w;1;;4;3;162;1;5;3;2;1;3;
97;5e709ce58332f0e3fecf44f8fe39cc47;ssAaqHgultSZbnI;1;;4;3;162;1;;3;2;1;1;
98;66d2e9d1ddb0392b66c5526b40aaf585;30cJ5ZR88a9GHDC;1;;2;1;162;1;1;3;5;3;1;
99;a29a188d27882eb7a0faafd413c4c0f4;jj4JzRmPNc29gMd;2;;2;1;1;1;;4;1;1;1;
100;7adaaedb835e252bd754d20f1cabc990;aXXGq7F1kcjH6oV;1;;2;1;1;1;1;2;4;2;1;
101;8d928f910173fba94a7e71d2c052c0e0;MJXc7Jwz39vZvcP;2;;3;2;162;1;5;4;3;1;1;
102;616dd7fe1425e248b752f22a943ce7b8;TaM38rMQ9NHcPLU;2;;2;1;1;1;1;2;3;1;1;
103;a9ff3d2284b86f20c1af140b5fe48474;zjBcZQxfk0deeIf;2;;2;1;1;1;;4;4;2;2;
104;31bf9a698d958a4b5207a9dcfa89b5ff;0zrOv5kNzAgna3O;1;;4;3;1;1;1;2;3;1;1;
105;1bb25d7ce78deb9faa2967680fbc7233;xWckWVMyLJcGXs1;1;;4;3;162;1;1;2;3;1;1;
106;cb2007314e132a9631772dff81f9a32f;dVQhiWzWbgJHTan;2;;4;3;1;1;5;3;3;1;1;
107;1bc6b234b89514b7e8c10a2fd6815adc;Of5qaFysjtu43I1;2;;5;4;162;1;;3;5;3;1;
108;267df6b5f9d644ba97f20e0ee4b460c3;PfcVqaYXasYBa0S;2;;4;3;1;1;1;4;5;3;1;
109;25a7093d1eb92ad1ac23c1bb1534f170;0Go7xieiT0aFuSs;2;;2;1;1;1;5;4;4;2;1;
110;01a2633b1e133ae841fc343ffcc21b12;yasbhpk2d5fyHjb;2;;4;3;1;1;;3;5;3;1;
111;2cdd9d2641d7e7cd9d00b50e421af835;SsPwAVLMBbm8dO2;2;;2;1;1;1;1;2;3;1;1;
112;ef3614ad04d3d89e1ca123158862ca69;grfxeuqfHYhDKB2;1;;3;2;1;1;5;4;5;3;1;
113;8b341a4da46021c6101f891f4cbc48ff;JnHm2IrZRy8qF7o;1;;3;2;1;1;;4;3;1;1;
114;8fef294609bac2cf71aa557040c47a0d;13w8bEuG1T88CYy;1;;4;3;1;1;;3;4;2;1;
115;a9fed47bc66803a5004d2f18e1dc582a;iig1GjOFGOTxGa3;2;;2;1;1;1;1;2;1;1;1;
116;c49f750faf8572ed053d184231bc936a;VGsVAzyV87Zhj6Y;2;;5;4;162;1;1;2;4;2;2;
117;7b3a0dc49c49bc3b65b1d8e95bc7425e;pggUuzJVJjgrQmu;1;;2;1;162;1;1;2;3;1;1;
118;b12babeb301656a4086e81cc1a9bc663;aec6H8nurWoDpWG;1;;5;4;1;1;;4;4;2;1;
119;a8153467471f0cd18f9ad8edabda0d58;x4BIkWtm0yGiCJk;1;;4;3;1;1;1;2;5;3;2;
120;d2b1aa8b3d29ca5a7a72c5b1e8087a7f;jcw7nLZ10JLRI7t;1;;3;2;1;1;5;4;5;3;1;
121;d1c2f004e4c5839a9533d0fbc1d486bf;Vnn0i5k1eJnYsB8;2;;4;3;1;1;;3;5;3;1;
122;65642c63ae445ba6c7c5648c42370ae4;1ztDWjKGnN4Cpr0;1;;2;1;162;1;89;3;5;3;1;
123;32f2a42b505050c9a841cbf91afa78aa;BubSzKItfCVMkJD;2;;4;3;162;1;5;3;5;3;1;
124;eccd14afa3b4abc636d008f12c1c34f5;SSsPFmMeUAhpxSb;1;;5;4;162;1;;2;5;3;3;
125;08011320986ce1e3e0cb2909b68d1d38;SCIZqdEjr0NuOkN;2;;5;4;162;1;1;3;5;3;1;
126;0324cd2e024b87324a14376ccf537062;vV1MWX4w8C2rMEm;2;;4;3;1;1;5;3;1;1;1;
127;6ff0fd07243550500ccc965df974cbc3;TUaLCDiolCRUhU9;2;;4;3;162;1;;1;3;1;1;
128;181eeabff57a51498723676d9f7befef;DLsRzeONESYiSWF;1;;3;2;1;1;5;2;3;1;1;
129;b7a25db6b11e621fbcd3791f0f5712e3;a99ZxB96ItX0ryF;1;;3;2;1;1;5;2;4;2;1;
130;0fddebeb5f5311cf7dc64db54d763a8b;hdFaxzFg7p7tiec;1;;3;2;1;1;;3;4;2;1;
131;7afd30234ec4a5fec64bc729e1b046a0;rd6DCUubKMQzabH;1;;3;2;1;1;5;2;1;1;1;
132;ef9f77b3fbad587f2b7ffa555f2a861a;alTvYfaCE1HuTFm;2;;3;2;1;1;5;3;1;1;1;
133;56c26e2a62f6f5de07b3e32d9871038f;RDDWGYivpViojfU;2;;3;2;1;1;24;4;5;3;2;
134;ae2e4ad809872f0dfbe01df644b56777;T9s4cwJCWrc9yvV;2;;5;4;1;1;104;2;4;2;1;
135;44b799a5fdf2cd35351c7dffa7f43afb;3dO1uHNj04ixdmh;1;;2;1;1;1;;2;3;1;1;
136;9aadaa5b6069114e6e3d358e19ea19b2;PwQWq2hazB1VTQI;1;;2;1;1;1;5;4;5;3;1;
137;6a838221d7cccf725a570adbd4c8d5c8;yh9eTQ3LoeKrfMv;1;;3;2;1;1;;4;3;1;1;
138;9bd6bc20288f036dfb26e2719201ce33;JztL7AqkDVsahWX;1;;4;3;1;1;1;2;3;1;1;
139;97378f9f23c54d29cb363f84c9a6ba7f;wM7kLWA6fRNdtbZ;2;;5;4;1;1;1;3;1;1;1;
140;28142d71a69b664ad3a44eac1b4ecb90;pfntOHQaOW37VOd;2;;4;3;1;1;1;4;5;3;1;
141;58d9e81c5e94ddbbf84471ea0d3d3671;BkKuCQ4Bgd9x1ak;1;;3;2;1;1;5;3;2;1;1;
142;1dd4d8b696b33174340f340341d61ead;ss6Me8ViaKzvh4a;2;;5;4;1;1;;3;3;1;2;
143;bd4c35a47ea1e84b0f48521b541d688d;03lk7BGIcRFWsNP;2;;5;4;1;1;;4;3;1;1;
144;b1c3f6104fb49147fb3ebc5ad731a7bf;lDZWpqzmYuHwqEi;1;;4;3;1;1;1;3;5;3;1;
145;6dddbb831a80fa71128ce0c7e20a2936;K7EbVa4kPjCk15G;1;;4;3;162;1;5;4;4;2;1;
146;10375b12e4ee9df76480179f5a85defb;GXclZg1O91QjdoT;2;;4;3;162;1;;4;5;3;2;
147;38ef29facb12e1803e4f5bd470cc333c;19IHXbMdVDq8Xia;1;;4;3;1;1;5;3;3;1;1;
148;340c44352403ef74c456f4132394296f;PpBW3bPgdvrND3W;1;;4;3;1;1;;4;5;3;1;
149;56a1608c61065519284340ee33bc5e44;j5SXhjf1zLGwLqR;1;;2;1;162;1;1;3;3;1;1;
151;ebee5b05ea1f6e48f53334acb8312898;2ALah6Q6sBG8bSC;2;;2;1;162;1;5;3;5;3;1;
152;427495cff2a9feb6d7bb0822650139f1;xQkW4yTHnA5cnoX;1;;4;3;1;1;1;4;5;3;1;
153;b6f08198c062aa7ecf3db2dc32ef4f92;OzXRKiabuhcSw9s;2;;3;2;1;1;5;3;1;1;1;
154;34e468d7941a3893b551d00de038f5bd;VJvK42S1JaqY1ng;2;;4;3;162;1;;3;1;1;3;
156;92d0eb6438d72c8ebde134e93ba2afb9;j73yP9ZB9aI6qV9;1;;5;4;1;1;1;1;1;1;2;
157;1d0440edaf83bc3bcc4bbadb9b276043;pyPY6rZjRiozWPe;2;;3;2;1;1;5;2;4;2;1;
158;2cba7b192bba2a02244b30f4a446a2c0;ZJmLVfJP7mO51bR;2;;3;2;162;1;1;1;1;1;1;
159;ec307851aa5e1c518a3373d677f98a91;5JGGS8FkaZtTJJQ;2;;5;4;1;1;104;1;5;3;3;
160;6d4ac343c09a625b7f9cfe8b5dcd47fd;jabPcEC4dA5flan;2;;3;2;1;1;;2;4;2;1;
161;eb4d4af4e9b4032c9c720191ece8ce64;1zw2c9UhReEMTKZ;2;;5;4;1;1;1;1;2;1;1;
162;58d21a7cbe588196434d842a1fb482df;L8uPDyapu4K9Sbz;2;;3;2;1;1;5;2;5;3;1;
163;eed8400e0d11e5c1782aa54db14bd49e;bh9dL1DrSyu7ekb;1;;2;1;1;1;;3;2;1;1;
164;9fc5b8cf3cb28e48cf4f24a59b907dbd;ACM1SYCIx02leaQ;1;;3;2;1;1;141;2;3;1;1;
165;b9c7d6ff97685dbc7a15ce7fd78b57e2;v4MhIGP76xMxIku;1;;4;3;1;1;1;1;4;2;1;
166;2654a2e82392d551f17d84b2b2b9e6f2;81qvt6kyMtIqzx9;2;;4;3;1;1;1;1;4;2;1;
167;d84999ec0a1fcd06f4fe44b4df9d8010;7Kqk79rMgKaMThB;2;;4;3;1;1;1;2;1;1;2;
168;792b8c5340be6467b5cd0a1102e20142;hRZGNvdrmEiISQi;2;;5;4;1;1;1;3;5;3;1;
169;1f9b1133d52de7c36750a5e9402f9f5c;UCkBC43kxvUAEGl;2;;2;1;1;1;5;3;4;2;1;
170;b4bbc8ddf3cf8ec0b9e47e7b116c14f9;xW0RlBijQIWxQTg;1;;5;4;1;1;1;1;3;1;1;
172;c148c3b225b9605655590dc98036338b;tdTA7mEfK62Na52;1;;5;4;1;1;1;2;3;1;1;
173;c2b2fa8ef169cbd60aa20d2f6f5df2c5;y4YdVPB9JOI15ao;2;;5;4;1;1;;2;1;1;3;
174;0305f20656a603d080a1831768125433;YvgJKdPvdcNUB18;1;;4;3;1;1;1;1;1;1;1;
176;bd668a0b0c32c08a3be42ea35ea5d853;LfkIk1jmsEDzenA;2;;5;4;1;1;;2;5;3;2;
177;66dfb3566944dc5e00433cc3f72af8ef;HZDsGtqzt7tSsle;2;;2;1;1;1;;3;5;3;1;
178;a4210d74184cd40dc6d5a3d85baf4d84;R4Qkl18BbfjJhNd;2;;2;1;162;1;1;4;5;3;2;
179;cd21ae8162a054a7e5327811bf86b963;VwKZkHmaGGMG5ad;2;;3;2;1;1;;2;4;2;1;
180;56dc640a6eedc33ac580898210a49e09;xuCIwmOPpNwwN9h;1;;4;3;1;1;;3;3;1;1;
181;7f965951d0d77a20c35de7da32f5aa40;cfjQBo5YrMBhwsa;1;;3;2;162;1;5;3;3;1;2;
182;b989ec1f9ab76db8ea9d51e7c6d42121;hlpB0OBDBqQNRxH;2;;2;1;162;1;1;1;1;1;3;
183;a55360df28b8e59518e9484bc552d7cd;d49M01RaQ2JP47o;2;;3;2;162;1;5;4;4;2;1;
184;e87106d9db676978b7b841651e880b68;SbCfKzXrPCQkUxx;1;;4;3;1;1;5;2;4;2;1;
185;f026791ce135071ebdb990ab5426431b;KsMBcBRN3s0wrzT;2;;4;3;1;1;;4;2;1;1;
186;7d0ab6c64b8d4540bc67cf60b9f50b04;GQ1I5bBQaXlqMaa;1;;3;2;1;1;5;4;5;3;1;
187;850b37e14342020a4e4a5dc16fed22ae;N4tMzc9DHE66jNZ;1;;2;1;1;1;5;4;4;2;2;
189;84578a0a1be2dffde56d82e421f36e64;hByOhVYyJzsl5ti;2;;4;3;1;1;;2;2;1;1;
190;59ded29ef87879817a5e8676082d1272;0Uju8jt8Nw1qRZ7;2;;5;4;1;1;;3;3;1;1;
191;9bdef85a8c6f3350b8d43c34ef6a1914;lu4SMslp9CgR6Jw;1;;3;2;1;1;5;3;4;2;1;
193;52d518be027384663160c658878fd332;TeTayainRQy8DDU;1;;3;2;1;1;;3;4;2;1;
194;2dd05c23983c23b1b8ec289f937b79a4;M6WurytDzWV5k5F;2;;4;3;162;1;1;2;4;2;1;
195;105ce0728fc1ff2ede972a041e97cf13;aF93noKXnHVpCcL;1;;5;4;1;1;;3;5;3;1;
196;da14f17586ca905705347b2b4c57903f;uJKYyPKyYXWWpUA;1;;3;2;162;1;;2;5;3;1;
197;3c44edc92b047ef9c9ec4b769323b743;qg5CCl1SwCcnOsn;2;;3;2;162;1;;3;4;2;1;
198;e93170bc0af8f9639cbfa720d32b0e94;OXhoQFKn07MUiPY;2;;4;3;1;1;5;2;5;3;1;
199;48c2e801bc99aff2bb5e4e61d7b31184;9AsfPSDSGZmt44f;1;;3;2;1;1;;4;4;2;1;
200;8d7128e5f377a4b652f3de5e046a5897;wCszvQmFyr32Mdz;1;;3;2;1;1;1;2;3;1;1;
201;6facb6f79c4d922831aaca96532bf002;aah4uQrOCDeKv5b;2;;4;3;162;1;5;3;3;1;1;
202;f67c5e7be7eded24edfd2e358b8e9ffd;5uRpTOJztkSLDl1;2;;3;2;1;1;5;4;4;2;1;
203;b1d150ef25ef61e06f3d263f5df5932a;C7Dz3ZZkdBhoY0I;2;;5;4;1;1;1;4;3;1;1;
204;aa0c7cdc6cf9095607f677e6d7502339;Fp16YCCr0zc204y;1;;4;3;162;1;1;4;5;3;1;
205;f6b7bf80570034ad7d5b75071770a762;kFLNCaKojYfrqkf;1;;5;4;1;1;89;3;2;1;1;
206;16b428716437414f294f5edec294b7ce;d2qiexpuaOfxyCk;1;;3;2;1;1;5;3;3;1;1;
207;4f6ebf25c8f998ad2f11ed2384289c45;bFqRVtYoPDIou47;2;;4;3;1;1;1;4;3;1;1;
208;cbbc58503c2e760d6f8d13ca597589c4;1ubfogvQXzDnzDi;1;;4;3;1;1;;3;4;2;1;
209;31ecbc3c3cdefd794627cadbe4638059;7R5YLav6Krxz1b5;1;;3;2;1;1;5;1;4;2;1;
210;f5a21ddb3cc14784af183dd0668b31c4;av9G2DSHFgLEyNw;1;;5;4;1;1;5;4;5;3;2;
212;867ab5acb170716017bceb0b5b812ead;945ykajfdxyIwSY;2;;3;2;162;1;5;4;3;1;1;
213;f6ad53973f03e26c10ec7e479e12bc2b;RbHmErRkBnaUGuY;1;;2;1;1;1;5;2;4;2;1;
214;ac821cc76204498d7743af3264028d93;D91Yjrrg1KGNaaW;1;;4;3;1;1;1;2;3;1;3;
215;e06a72e7e0eeec94ade45297547b9b39;B4WYP8WJyP9J3F1;1;;3;2;1;1;1;3;3;1;1;
216;663a5fd9a2b15e5d999400f882a240a6;LhsZOY7zpkfs8Xr;2;;3;2;162;1;1;3;3;1;1;
217;6de18c4a8812778a57643cf652b9e667;ev3DZZASSGD4ZnZ;1;;5;4;1;1;;3;5;3;1;
218;cfe771783cfb5ba66e5ff150c6b1a87f;vv1gJkLXXKQ3VpJ;1;;5;4;1;1;5;4;4;2;1;
