token	question_1_check	question_2_check	question_3_check	sex_check	age_check	climate_check
HouJ6QzNIHaQq2i	1	1	1	1	1	1
Hp4vuNb7K6hX3J4	1	1	1	1	1	1
IlfsnDs5AO2CZ7D	1	1	1	1	1	1
ImnA7MAayF9boYK	1	1	1	1	1	1
IpdOnHZvl0EKktI	1	1	1	1	1	1
IviUSt45Tf3yYzb	1	1	1	1	1	1
J8mvfHOaHZVMgII	1	1	1	1	1	1
JcOdjRa7pEeuSFw	1	1	1	1	1	1
JnHm2IrZRy8qF7o	1	1	1	1	1	1
JztL7AqkDVsahWX	1	1	1	1	1	1
K7EbVa4kPjCk15G	1	1	1	1	1	1
KKAlTxoxjihpaKC	1	1	1	1	1	1
KT6jxoQuYu0QzkL	1	1	1	1	1	1
KerZeS7QQZGHEeG	1	1	1	0	1	1
KgHFKoc6EKniHjk	1	0	0	1	1	0
KsMBcBRN3s0wrzT	1	1	1	1	1	1
KuQxFo44iqVIgm0	1	1	1	1	1	1
L8KZDhVCqXclROY	1	0	0	1	1	1
L8STAiCzs2BESGo	1	1	1	1	1	1
L8uPDyapu4K9Sbz	0	0	0	1	1	1
LAmzz4OYXNzta28	1	1	1	1	1	1
LDGFW4gRNQjJiJY	1	1	1	1	1	1
LTYIxr8rVG5PLBr	1	1	1	1	1	1
LhsZOY7zpkfs8Xr	1	0	0	1	1	1
M6WurytDzWV5k5F	1	1	1	1	1	1
M9RszVPfma6lADg	1	1	1	1	1	0
MJFI2Q11LQbuxqp	1	1	1	1	1	1
MJXc7Jwz39vZvcP	1	1	1	1	1	1
MOHJGyiLPRftQay	1	1	1	1	1	1
MQLNWW2RPzUusve	1	1	1	1	1	0
MYXEecGasz5jrzK	1	1	1	1	1	1
N0CtyCcrMqHtcoh	1	1	1	1	1	1
N22Ib60Z68eCRNk	1	1	1	1	1	1
N4tMzc9DHE66jNZ	1	1	1	1	1	1
NF4kO5HM6HDKtr8	0	0	0	1	1	1
NFf5wkrTpa0SAQV	0	0	0	1	1	1
NPWbR9Vn3wPzoAR	1	1	1	1	1	1
NTLHBS9gZRP2fgb	1	0	0	1	1	1
NXVncKaTGdT6jvK	1	0	0	1	1	1
NbOlTwyylme8Ns5	1	1	1	1	1	1
NuXjTUrheqLDwRR	1	1	1	1	1	1
Nul2A4rXOks4apQ	1	0	0	1	1	1
NzOzkCPi95ImZNt	0	0	0	0	1	1
OXhoQFKn07MUiPY	1	1	1	1	1	1
Oz1m8nTFJx2WiMt	1	1	1	1	1	1
OzXRKiabuhcSw9s	1	0	0	1	0	0
PAz0jdzk9xIiNoa	1	1	1	1	1	1
PfcVqaYXasYBa0S	1	1	1	1	1	1
PpBW3bPgdvrND3W	1	1	1	1	1	1
PwQWq2hazB1VTQI	1	1	1	1	1	1
Q8s0smi15bflTRs	1	1	1	1	1	1
QMAqUxsbUjzEEAP	1	1	1	1	1	1
QVubsToBOvDR5hz	1	0	0	1	1	1
QaCY8gIOSlz6ukb	1	1	1	1	1	1
Qb9qHwqhrw5z3Dc	1	1	1	1	1	1
R2FnYzldUWglHa3	1	1	1	1	1	1
R4Qkl18BbfjJhNd	1	1	1	1	1	1
RBMbXD57FjI2KFa	1	1	1	1	1	1
RDIVfZilKV6JLFy	1	1	1	1	1	1
RId8xzXrj0mJx7f	1	1	1	1	1	1
RbHmErRkBnaUGuY	1	0	0	1	0	1
RdHBlGtuER1ZTkW	1	1	1	1	1	1
RjRoAXuKpd1h36t	1	1	1	1	1	1
RtbymaGuXrLfnEy	1	1	1	1	1	1
Rxv39BJgvtkQtB8	1	0	0	1	1	0
S7xkIz3f4gniqZz	1	0	0	1	0	1
S8gqeN3zCz2dU4T	1	1	1	1	1	1
SCIZqdEjr0NuOkN	1	0	0	1	1	1
SbCfKzXrPCQkUxx	1	1	1	1	1	1
SsPwAVLMBbm8dO2	1	1	1	1	1	1
SvT8RBVTXa1IspB	0	0	0	1	1	1
TGM2qLMup2znkTw	1	1	1	1	1	1
TGaaEdqRYQju7fW	1	1	0	1	1	1
TKTrElDeYDxWWS1	1	1	0	0	1	1
TUaLCDiolCRUhU9	1	1	1	1	1	1
TeTayainRQy8DDU	1	1	1	1	1	1
ThePFJHdSaldRR5	0	0	0	1	1	1
TmhTzuKxcqq6wAa	1	1	1	1	1	1
Ts0f2eXFs98LNAc	1	1	0	1	1	1
U07SEq72M3KRA0d	1	1	1	1	1	1
U3mYQVuxZLgp3Y6	1	1	1	1	1	1
UCkBC43kxvUAEGl	1	0	0	1	1	1
UQNYITyhxeIhdLA	1	1	1	1	1	1
UoIURXRHcMOZGSB	1	1	0	1	1	0
UqTYMC9xuAXAizq	1	1	1	1	1	0
VGsVAzyV87Zhj6Y	1	1	1	1	1	1
VK5gT5zWrtHLE8C	1	1	1	1	1	1
VNIVExBdTg7zekT	1	1	1	1	1	1
VafgjIZIXD3w1F1	1	1	1	1	1	1
Vlf5zx79QPcd0NL	1	1	1	1	1	1
Vnn0i5k1eJnYsB8	1	1	1	1	1	1
VwKZkHmaGGMG5ad	1	1	1	1	0	1
VzIfbFgb7NXbfbR	1	1	1	1	1	1
W5TeAtlkWfGtiPj	1	1	1	1	1	1
WCXVMhI9FitAQua	1	0	0	1	1	1
WIME66xmVBQwRGH	1	1	1	1	1	1
WNqek6GdVOASR0o	1	1	0	1	1	1
WbBISRszJyb2mfZ	1	1	1	1	1	1
Wu0atoGNRBn8LY1	1	1	1	1	1	1
X8apQuwPn8tHn7I	1	1	1	1	1	1
XBaNXpTjAJXWXoe	1	1	1	1	1	0
XEaN0kfIqx71iI6	1	1	1	1	1	1
XTViUb1PvXEk3aP	1	1	1	1	1	1
XWVo50Fsy7sAWg5	1	1	1	1	1	1
XaB5vMMFVtr2bgX	1	1	1	1	1	1
XrR4REpBQ77HQM2	1	1	1	1	1	1
Y61BjcgFZwdzM0N	1	1	1	1	0	1
YADFiPKVnIIahVN	1	1	1	1	1	1
YKepgzOWgq1eWxU	1	1	1	1	1	1
YMefqTarhUjNHQY	1	1	1	1	1	0
Ye193Yt3sch4sjF	1	1	1	1	1	1
YrZsza0gQTgu7ma	1	1	1	1	1	1
YvgJKdPvdcNUB18	1	1	1	1	1	1
Z6ozUJSBi6tajAz	1	1	1	1	1	1
ZBn4UnpVRCpz4LI	1	1	0	1	1	1
ZJiU8zAjzKZfXsX	1	1	1	1	1	1
ZOSxyTfk85hZTBp	1	1	1	1	1	1
Zbk6aCgukacQsdh	1	1	1	1	1	1
ZjFYsa3INSZd4WD	1	1	1	1	1	1
Zobxz8lxaJ6Z08G	0	0	0	0	1	1
ZpzVclKL0LTd9yX	1	1	1	1	1	1
Zu9RGnCCFvwnvVW	1	1	1	1	1	1
a5C8wKzSewJZTbL	1	0	0	1	1	1
a99ZxB96ItX0ryF	1	1	1	1	1	1
aF93noKXnHVpCcL	1	1	1	1	1	1
aNX8cTqopL44M8p	1	1	1	1	1	1
aXK86kNKL10Kt6k	1	1	1	1	1	1
aXXGq7F1kcjH6oV	1	1	1	1	1	1
aah4uQrOCDeKv5b	1	1	1	1	1	1
ad5LQ65rMc3LnLC	1	1	1	1	1	1
adxZtV39DPCWlbM	1	1	1	1	1	1
aec6H8nurWoDpWG	1	1	1	1	1	1
ah3biAYWrK2odxG	1	1	1	1	1	1
alTvYfaCE1HuTFm	0	0	0	1	1	0
asz7ROeAoVNupCW	1	1	1	1	1	1
av9G2DSHFgLEyNw	1	1	1	1	1	0
awaCwZuUDMZtzHu	0	0	0	1	1	1
b0ZAaWfsDS3ztjo	1	1	1	1	1	1
b5jYhzMMlCujkC5	1	1	1	1	1	1
bhGFzDI0tGEsBi8	1	1	1	1	1	1
boz576ppdsZoaBV	1	1	1	1	1	1
c0Vw9JxUJ4wftm9	1	0	0	1	1	1
cYhw9bygugWPxoQ	1	1	1	1	1	1
cdAMW9GjiuY6n4J	1	1	0	1	1	1
cfjQBo5YrMBhwsa	1	1	1	1	1	1
chH0AQESNhDF3ID	1	1	1	1	1	0
cjfjnUOAc4udQ0z	1	1	1	1	1	0
czLtYlehEiDeqXK	1	1	1	1	1	1
d2qiexpuaOfxyCk	1	1	1	1	1	0
dwfsxlfZFRPUIwY	1	1	1	1	1	1
e9R1CehLcIVv5vI	1	1	1	1	1	1
eKXe34HEmR9PfH4	1	1	1	1	1	1
eOgTNBPiRszng2r	0	0	0	1	1	0
eVr6xl3hccFJzsa	1	1	1	1	1	1
efErS5LMdk8Oj11	1	1	0	1	1	1
eq9rvMHm7gmvAD1	1	1	1	0	1	1
ev3DZZASSGD4ZnZ	1	1	1	1	1	0
fPjIKLPJaux6BdR	1	1	0	1	1	1
fjT8v4iMaxhpDiG	1	0	0	1	1	1
fxgoIiaNbEyz4Jr	1	1	1	1	1	0
g6j576B0fAsvVPz	1	1	1	1	1	1
gNXirT2OZ5Rrxbw	1	1	1	1	1	1
gcEwpAdhrYRxCwP	1	1	1	1	1	1
gkRKZzBp7jchyUj	1	1	1	1	1	1
grfxeuqfHYhDKB2	1	1	1	1	1	1
hByOhVYyJzsl5ti	1	1	1	1	1	1
hRZGNvdrmEiISQi	1	1	1	1	1	1
hSzt1AvCRZzkg5y	1	1	1	1	1	1
hdFaxzFg7p7tiec	1	1	1	1	1	1
hk5t0ryNA8OjUR9	0	0	0	0	1	0
i8WyJaMqg6y20eA	0	0	0	1	1	1
iF13AHqDisQIVmo	1	1	1	1	1	1
iKuC5zShxoie1rg	1	1	1	1	1	1
iOX2GbcRvqTqTEi	1	1	1	1	1	1
iig1GjOFGOTxGa3	1	1	1	1	1	1
ij9qzL2pjl5gLli	1	1	1	1	1	1
j5SXhjf1zLGwLqR	1	1	1	1	1	1
j5vSnh4SbLj3Ik8	1	1	1	1	1	1
j73yP9ZB9aI6qV9	1	1	1	1	1	1
j9IinMaLGLuYaNX	1	1	1	1	1	1
jFe2WeT0IXw2a8I	1	1	1	1	1	1
jVbTKTPJE33LQNx	1	1	1	1	1	1
jabPcEC4dA5flan	1	1	1	1	1	1
jcw7nLZ10JLRI7t	1	1	1	1	1	1
jj4JzRmPNc29gMd	1	1	1	1	1	1
jnYs4G0M58o3raU	1	1	1	1	1	1
juAf5uRyhIkkrtM	1	1	1	1	1	1
kFLNCaKojYfrqkf	1	1	1	1	1	1
kSIVQZEO6XpvzLD	1	1	1	1	1	1
kWod1Ypy7wrUYdm	1	1	0	1	1	1
kxQF3kNUUWUaJrq	1	1	1	1	1	1
kzRSJVNHnBObPzC	1	1	1	1	1	1
lDZWpqzmYuHwqEi	1	1	1	1	1	1
lO82kCL0OY6gQzD	1	1	1	1	1	1
lXkn1xyba9QK0I5	1	1	0	1	1	1
lbdxpnVEadp6hxo	1	1	1	1	1	1
lr9eRqwfABpRmQS	1	0	0	1	1	0
lu4SMslp9CgR6Jw	1	1	1	1	1	1
mTmMZQO3hrFhiXp	1	1	1	1	1	1
mvJkzbmzoxQeiqj	1	1	1	1	1	1
n02Wd1aFzQqCzTh	1	1	1	1	1	1
n4qJr2ENMspQHhX	1	1	1	1	1	1
nGM7y9t6W5w7CHr	1	1	1	1	1	1
nJU8nqxJKrq5NUK	1	1	1	1	1	1
nUYM32p7umnLGDA	0	0	0	1	1	1
ns1SV965dEZdl9b	1	1	1	1	1	1
o7cZavgx24rIPyM	1	1	1	1	1	1
oRv58pp7HOXaDh4	1	1	1	1	1	1
oll9wnJpNkQO5Xq	1	1	1	1	1	1
oqOdfVCDrxBEZ6s	1	1	1	1	1	1
oyw2Zi6W0Subaft	1	1	1	1	1	1
p3Wk5gnIWQnDJH9	1	1	1	1	1	1
pfntOHQaOW37VOd	1	1	1	1	1	1
pggUuzJVJjgrQmu	1	1	1	1	1	1
px5rVzM1Ql1OXpz	1	1	1	1	1	1
pyPY6rZjRiozWPe	1	1	1	1	1	1
q2525kz7EEFJNRd	1	1	1	1	1	1
q8H7Zld3xi4MVMg	1	0	0	1	1	1
qYbRTXGJqmLW7y7	1	1	1	0	1	1
qcBa51RUaaIkRuC	1	0	0	1	1	1
qg5CCl1SwCcnOsn	1	0	0	1	1	1
qjddzwgjK55dS9E	0	0	0	1	1	1
qoBR2uuz7WoAnzn	1	1	1	1	1	1
qqyo49aUWZkOhpE	1	1	1	1	1	1
qzaAyWpNP0mteVu	1	1	1	1	1	1
r3ZzGsgDrA2btBq	1	1	1	1	1	1
r7epztdHHlq42v3	1	0	0	1	1	1
rDQgErdWC6CB5eI	1	1	1	1	1	1
rHXGyNJtmAuLdXc	1	1	1	1	1	1
rRdNHOkARZOViAK	1	1	1	1	1	1
riKqrPglKaFa7Ay	1	0	0	1	1	0
rmtXEKaRizGradf	1	1	1	1	1	1
rqiK36JNaoc1LBv	1	1	1	1	1	1
skhBzRdDRj7EqxQ	1	1	1	1	1	1
ssAaqHgultSZbnI	1	1	1	1	1	1
tH2q4nkq2raW4i7	1	1	1	1	1	1
tdTA7mEfK62Na52	1	1	1	1	1	1
tqzSPauDYJ45Uko	1	1	1	1	1	1
ttG9nSV0wMZdmW1	0	0	0	1	1	1
u3diMLLoztR7OmE	1	0	0	1	1	1
uDKcdqqxhvj9VDD	1	1	1	1	1	1
uGCjXZlVmEQPzG0	1	1	1	1	1	1
uJKYyPKyYXWWpUA	1	1	1	1	1	1
uL0tt6ngQdNTIor	1	1	1	1	1	1
uMuRMwOt7DeRwHk	1	1	1	1	1	1
uNhCW8MaV8y72T9	1	1	1	1	1	1
uYYdsRGkM6CtxG8	1	1	0	1	1	1
ueR4NoTXwx0Ttui	1	1	1	1	1	1
v4MhIGP76xMxIku	1	1	1	1	1	1
vLYXB1ZbtpRJXYn	1	1	1	1	1	1
vPq8XXbadWnQ4TV	1	1	0	1	1	1
vUmq3J6u8XWZOQg	1	0	0	1	1	0
vV1MWX4w8C2rMEm	1	1	1	1	1	1
vZoBLJ5RaUiXowi	1	1	1	1	1	1
vaTbZ9IGoNQuOFP	1	1	1	1	1	1
vcaybz6fEsIbpnz	1	1	1	1	1	1
vkkV6RdlgoICrmG	1	0	0	1	1	1
vnNvzvDnSic1HE0	1	1	1	1	1	1
vv1gJkLXXKQ3VpJ	1	1	1	1	1	1
w7x70aeyaxizsxr	1	1	1	1	1	1
wCszvQmFyr32Mdz	1	1	1	1	1	1
wM7kLWA6fRNdtbZ	1	1	1	1	1	1
whsQuV94zW63zbx	1	1	1	1	1	1
wz3S9kjQ8RLtfPh	1	1	1	1	1	1
xHihaH5msAYMgV5	1	1	1	1	1	1
xKNq2FUPLxQ0okc	1	1	1	1	1	0
xQkW4yTHnA5cnoX	1	1	1	1	1	1
xiDt2NVKZEjCH74	1	1	1	1	1	1
xnO3syiOmrxZYsV	1	1	1	1	1	1
xuCIwmOPpNwwN9h	1	1	1	1	1	1
xuwEd6VDC3ojPKB	1	1	1	1	1	1
yT1GcHUxaB8PkTs	1	1	1	1	1	1
yasbhpk2d5fyHjb	1	1	1	0	1	1
yh9eTQ3LoeKrfMv	1	1	1	1	1	1
ymP5LHhMoesHNLg	1	1	1	1	1	1
zX1YPX6yjdfrLwe	1	1	1	1	1	1
zb8CRXIFw0bwoVJ	1	1	1	1	1	1
zdndIoVfIKssQwt	1	1	1	1	1	1
zjBcZQxfk0deeIf	1	1	1	1	1	1
zka98nhh50COkJ2	1	0	0	1	1	1
