FACTOR	CODE	ITEM TEXT	ITEM TEXT EN	LOAD	LOW	SIM	UNC	EMO	NOTES
4	POWL11	Czuję dezorientację, jeśli chodzi o to, co mogę tak naprawdę zrobić, by ograniczyć zmianę klimatu.	I feel disoriented over what I can do to reduce climate change.	-0,55					
4	POWL5	Kiedy myślę, co ja sam/a mogę zrobić na rzecz klimatu, czuję się bardzo malutka/malutki.	When I think about what I can do for the climate, I feel very small.	-0,53					
4	POWL7	Przytłacza mnie to, jak wiele aspektów życia należałoby zmienić, by ograniczyć zmianę klimatu.	I am overwhelmed by how many changes need to be made to reduce climate change.	-0,52					
4	POWL4	Mam poczucie, że niewiele mogę zrobić, by ograniczyć zmianę klimatu.	I feel that I cannot do much to limit climate change.	-0,61					
4	POWL8	Mam poczucie bezsilności w obliczu tego, jak skomplikowanym problemem jest zmiana klimatu.	I feel powerless towards how complicated climate change is.	-0,5					
4	POWL12	Trudno mi zrozumieć, jak właściwie mam postępować, by pomóc skutecznie przeciwdziałać zmianie klimatu.	It’s difficult for me to understand what I can do to help fight climate change effectively.	-0,59					
4	POWL2	Czuję się bezradna/y wobec faktu, że jako jednostka mam bardzo niewielki wpływ na to, co się dzieje z klimatem.	I feel powerless towards the fact that as an individual, I have little agency over what happens to the climate.	-0,55					
4	POWL13	Czuję bezsilność, kiedy myślę o tym, jak trudno jest żyć w sposób przyjazny dla klimatu.	I feel helpless when I think of how difficult it is to live in a climate friendly way.	-0,51					
5	GUI1	Wiele wyborów dnia codziennego wywołuje u mnie poczucie winy ze względu na ich negatywny wpływ na klimat.	Many of my everyday choices cause me to feel guilty because of the negative impact they have on the climate.	0,55			1		
5	GUI11	Mam wyrzuty sumienia, że nie robię wystarczająco dużo, żeby przeciwdziałać zmianie klimatu.	I have guilt around not doing enough to fight climate change.	0,84					
5	GUI6	Denerwuję się, że mój negatywny wpływ na klimat jest zbyt duży.	It upsets me that my negative impact on climate change is so big.	0,72					
5	GUI2	Kiedy robię coś, co przyczynia się do zmiany klimatu, nachodzą mnie wyrzuty sumienia.	I feel remorse whenever I do something that contributes to climate change.	0,58					
5	GUI8	Mam poczucie winy, że sposób, w jaki żyję, przyczynia się do zmiany klimatu	I feel guilty that my lifestyle contributes to climate change.	0,78					
5	GUI9	Mam wyrzuty sumienia, że robię zbyt mało, by ograniczyć zmianę klimatu.	I feel remorse for not doing enough to mitigate climate change.	0,78					
5	GUI7	Czuję dyskomfort, kiedy myślę o moim negatywnym wpływie na klimat.	I feel uncomfortable when I think about my negative impact on the climate.	0,53	1		1		
5	GUI3	Czuję się winna/y, gdy robię coś szkodliwego dla klimatu, na przykład gdy korzystam z samochodu lub samolotu.	I feel guilty whenever I do something that harms the climate, such as using a car or airplane.	0,53	1	1			Similar to GUI4
5	GUI4	Mam poczucie winy, gdy robię coś, co przyczynia się do zmiany klimatu.	I feel guilty for doing things that contribute towards climate change.	0,66					
5	GUI13	Stresuję się, że powinnam/powinienem robić więcej, by przeciwdziałać zmianie klimatu.	I am stressed that I should do more to fight climate change.	0,57	1		1		
5	GUI12	Jestem zła/y na siebie, że nie robię wystarczająco dużo, by ograniczyć mój wpływ na klimat.	I am mad at myself for not doing enough to restrain my impact on the climate.	0,83					
5	GUI14	Mam do siebie pretensje, że nie robię więcej, by pomóc w walce ze zmianą klimatu.	I shame myself for not doing more to help with the fight against climate change.	0,78					
6	ISO4	Czuję, jakbym był/a jedną z niewielu osób, które naprawdę rozumieją, z czym wiąże się zmiana klimatu.	I feel like one of the few people who actually understand what climate change really means.	0,73					
6	ISO13	Czuję się osamotniony/a, kiedy inni nie rozumieją moich obaw w stosunku do zmiany klimatu.	I feel lonely when others don’t understand my concerns about climate change.	0,66					
6	ISO14	Czuję się odizolowana/y od reszty społeczeństwa, ponieważ inni nie przejmują się zmianą klimatu tak bardzo, jak ja.	I feel isolated from the rest of society because others don’t care about climate change as much as I do.	0,87		1			Similar to ISO5
6	ISO5	Czuję się osamotniona/y, ponieważ większość ludzi w moim otoczeniu nie martwi się zmianą klimatu tak, jak ja.	I feel lonely because most of the people in my surroundings don’t care about climate change like I do.	0,84					
6	IRR5	Czuję się zirytowana/y, ponieważ ludzie w moim otoczeniu nie rozumieją powagi zmiany klimatu.	I feel annoyed because many people around me don’t understand the seriousness of climate change.	0,63	1			1	
6	ISO8	Czuję osamotnienie, ponieważ trudno mi rozmawiać z innymi o mojej trosce dotyczącej zmiany klimatu.	I feel lonely because it’s difficult to talk about my climate change concerns with other people.	0,77					
6	ISO7	Czuję, że trudno byłoby mi podzielić się moim zmartwieniem dotyczącym zmiany klimatu z większością ludzi wokół mnie.	I feel difficulty in sharing my worries about climate change with most of the people around me.	0,57	1				
6	ISO1	Czuję się wyobcowana/y w moich odczuciach wobec zmiany klimatu.	I feel left out in my feelings regarding climate change.	0,67			1		
6	ISO3	Czuję się jakbym był/a jedyną osobą w moim otoczeniu, która przejmuje się zmianą klimatu.	I feel like the only person in my surroundings that cares about climate change.	0,84					
6	ISO10	Zdarza mi się czuć samotnym/ą, bo ludzie nie traktują zmiany klimatu poważnie.	I tend to feel lonely because people don’t take climate change seriously.	0,7			1		
6	ISO12	Czuję się wyobcowana/y, ponieważ społeczeństwo uważa troskę o zmianę klimatu za coś dziwacznego.	I feel left out because society considers the concern for climate change as something strange.	0,79					
6	ISO2	Czuję się osamotniona/y w mojej trosce o zmianę klimatu.	I feel lonely in my concern for climate change.	0,79					
6	ISO9	Czasem czuję się samotna/y, bo ludzie po prostu żyją, jakby nie było zmiany klimatu.	Sometimes I feel lonely because people live as if climate change doesn’t exist.	0,59					
7	APP10	Czuję obawę, gdy myślę o tym, jak zmiana klimatu wpłynie na życie ludzi.	I fear how climate change will affect the lives of people.	0,62					
7	APP13	Czasami jestem niespokojny/a myśląc o tym, co niesie ze sobą zmiana klimatu.	Sometimes I get anxious thinking about what climate change will bring.	0,52	1				
7	HOPL7	Zmiana klimatu sprawia, że czuję się jakbym żył/a z diagnozą śmiertelnej choroby.	Climate change makes me feel like I am living with a diagnosis for a terminal illness.	0,7					
7	APP3	Obawiam się tego, co nastąpi w wyniku zmiany klimatu.	I fear what will happen due to climate change.	0,65			1		
7	HOPL3	Czuję rozpacz na myśl o skutkach zmiany klimatu.	I feel despair when I think about the effects of climate change.	0,58			1		
7	APP9	Boję się życia w świecie dotkniętym zmianą klimatu.	I am scared of life in a world affected by climate change.	0,75		1			Similar to APP1
7	HOPL1	Świadomość zmiany klimatu odbiera mi radość życia.	Being aware of climate change limits the joy in my life.	0,72					
7	APP2	Z niepokojem myślę o skutkach zmiany klimatu.	I am concerned about the effects of climate change.	0,56					
7	HOPL12	Kiedy myślę o zmianie klimatu, to czuję się jakbym balansował/a na skraju przepaści.	When I think of climate change, I feel like I’m balancing on the edge of the abyss.	0,71		1			Similar to HOPL7
7	APP7	Myśli o zmianie klimatu sprawiają, że boję się o przyszłość naszych dzieci.	I fear the future of our children when I think of climate change.	0,59					
7	HOPL2	Kiedy patrzę w przyszłość, ze względu na zmianę klimatu trudno mi dostrzec tam miejsce na radość.	It is difficult for me to find joy in the future, as a result of climate change.	0,65		1			Similar to HOPL1
7	APP6	Czuję niepokój, gdy myślę o zmianie klimatu.	I feel anxious when I think of climate change.	0,55	1				
7	HOPL5	Przytłacza mnie świadomość nadchodzącej katastrofy klimatycznej.	I am overwhelmed by the awareness of the upcoming climate disaster.	0,71					
7	HOPL14	Boję się, że moja przyszłość w dobie zmiany klimatu wypełniona będzie cierpieniem.	I am afraid that my future in the face of climate change will be full of suffering.	0,83			1		
7	HOPL11	Ze względu na zmianę klimatu wszystko wydaje się niepewne.	Everything seems uncertain because of climate change.	0,69					
7	APP1	Wizja przyszłości w dobie zmiany klimatu wywołuje we mnie lęk.	I am full of fear when I think of the future in times of climate change.	0,83		1	1		Similar to APP10
7	HOPL13	Ze względu na zmianę klimatu przyszłość rysuje się w ciemnych barwach.	The future looks very dim due to climate change	0,64			1		
7	SOR2	Świadomość zmiany klimatu napełnia mnie smutkiem.	Knowing that the climate is changing fills me with sadness.	0,56				1	
7	APP11	Niepokoi mnie, w jaki sposób dotknie mnie zmiana klimatu.	I am concerned with how climate change will affect me.	0,71		1			Similar to APP14
7	HOPL9	Czuję, że nie ma przyszłości w świecie dotkniętym skutkami zmiany klimatu.	I feel that I have no future in a world that is facing the effects of climate change.	0,66			1		
7	APP14	Boję się, jak zmiana klimatu dotknie mnie i moich bliskich.	I fear how climate change will affect me and my close ones.	0,68					
7	APP12	Czuję niepokój na myśl o tym, jaki wpływ na nasze życie będzie miała zmiana klimatu.	I feel anxious about how climate change will affect our lives.	0,61		1			Similar to APP10
